ID,X,Y,Ti,Hi,Di,Mi
52-18,496022.31,5404502.09,16.779736450949503,284.6952284853416,57.05486462557438,21.251433209424903
52-19,496166.57,5404015.05,11.969285113739062,92.07867227801192,191.6227717743918,25.25407367441324
54-17,496655.46,5404184.68,32.89165433156425,217.40923479225648,114.93978787872034,15.573278969154245
54-18,496814.18,5403710.73,23.121918656981702,96.16714556550124,161.7186628863,19.102219107984414
56-20,497136.01,5404331.36,7.648051353697635,237.95074735767008,42.01149797695838,31.080042444403812
56-22,497291.62,5403856.01,10.617617132577735,278.738421890937,60.7706122441927,15.913085816697308
60-20,498232.97,5404152.17,28.10042428515947,253.4589736553553,77.90680213559509,19.31780299299755
BK12-3,497621.5,5404458.17,15.796345162617847,295.45958096766583,110.65446561177373,20.136751812408345
BK12-4,497754,5403998.03,20.80253761398188,283.3067868451132,54.11118315227186,20.689696625373564
BK12-8,498378.44,5403689.89,60.914643033857956,140.13606329382773,132.21369758513725,17.585333975982234
BK17-6,498782.26,5404074.31,16.58190568540306,142.46007745529215,199.4997806188104,25.435041870116287
BK20-1,498695.79,5404381,24.63877158286084,199.58717662129467,134.72871540991724,20.207016604835758
BND-1,496022.31,5403689.89,19.421296759725795,161.90412475720802,136.60525381381723,21.15221564913153
BND-2,498782.26,5403689.89,43.14389693176241,170.1294173405177,128.0835566729702,19.35138171305636
BND-3,498782.26,5404502.09,23.87798444142291,205.609722464635,129.14964864857674,20.591413789362377
BND-4,496022.31,5404502.09,16.779736450949503,284.6952284853416,57.05486462557438,21.251433209424903
