key,label,orderMode,score,months,hitRate,maxDeficit,minTonnage,riskMax
shear+10%,推进速度+10%,yardConfirmed,-344.2166666666667,125,0.912,416666.6666666667,0.0,
base,当前参数,yardConfirmed,-345.1549019607843,136,0.9191176470588235,416666.6666666667,0.0,
crew+1,掘进队+1,yardConfirmed,-345.1549019607843,136,0.9191176470588235,416666.6666666667,0.0,
reloc-20%,搬家工期-20%,yardConfirmed,-345.1549019607843,136,0.9191176470588235,416666.6666666667,0.0,
reloc-pack,安装/搬家协同提效,yardConfirmed,-345.80555555555554,135,0.9111111111111111,416666.6666666667,0.0,
install-20%,安装工期-20%,yardConfirmed,-346.62549019607843,136,0.9044117647058824,416666.6666666667,0.0,
crew+1-install-20%,掘进队+1 + 安装-20%,yardConfirmed,-346.62549019607843,136,0.9044117647058824,416666.6666666667,0.0,
