ID,X,Y,Ti,Hi,Di,Mi
42-17,493819.99,5403253.54,39.543877229869224,241.38375208288926,0.5002946308858924,0
44-20,494139.87,5403910.06,38.10588328267363,260.46094692020694,0.5005114065488294,0
44-21,494281.28,5403430.68,34.539876987396354,242.68468311829724,0.5007685494110949,0
46-17,494772.09,5403559.76,63.30218759516477,238.38134756191465,0.9984936603514494,13
46-18,494932.54,5403086.53,27.83569798548161,249.52876461294335,0.7991008054161278,0
48-20,495395.96,5403245.75,31.65057532048609,256.56649918259865,0.5009606280953155,0
48-19,495234.32,5403718.35,58.843075020450414,268.6729960707685,0.5009352027252125,0
BK14-7,495198.22,5404068.78,5.442800823311713,316.34764461378813,0.5999945957065467,0
BND-1,493819.99,5403086.53,39.24123167052155,243.2175780302696,0.518251486484427,0
BND-2,495395.96,5403086.53,33.213519936977534,256.62826681013746,0.549402019786349,0
BND-3,495395.96,5404068.78,19.28102853554737,299.1111006170469,0.5958009056303692,0
BND-4,493819.99,5404068.78,38.38245263774931,257.1485515600045,0.5458804641311439,0
WF-1-LOC1,493827.2631,5403730.276,38.49112054584397,252.95269083016765,0.5432983939994489,13
WF-1-LOC2,495204.715,5403730.059,58.320671457584304,268.7786834493748,0.5041172752533846,13
WF-1-LOC3,495204.715,5403525.741,47.61411792021845,263.6688045779144,0.5866166048755042,13
WF-1-LOC4,493827.2631,5403526.016,38.72827726323526,247.0490477371724,0.534292881590702,13
WF-1-BJ1,493852.30767999997,5403730.272054545,38.46676321963215,253.22792837129006,0.5422284025327484,13
WF-1-BJ2,493877.35225999996,5403730.268109091,38.44172039019884,253.5196275066625,0.5410808742526514,13
WF-1-BJ3,493902.39684,5403730.264163636,38.41651840033025,253.82386766012934,0.5398583972888715,13
WF-1-BJ4,493927.44142,5403730.260218182,38.39176408948246,254.1356792424694,0.5385722603305154,13
WF-1-BJ5,493952.486,5403730.256272727,38.36814081753403,254.4489139639595,0.5372446762739765,13
WF-1-BJ6,493977.53057999996,5403730.252327273,38.346559414132805,254.75512277444963,0.5359148915590771,13
WF-1-BJ7,494002.57516,5403730.248381818,38.328441377196185,255.03964102030784,0.5346687163798576,13
