钻孔ID,X,Y,实测地表下沉值/m
Q11,494117.6314,5403803.377,0.3375
Q12,494117.6314,5403778.377,0.5375
Q13,494117.6314,5403753.377,0.7845
Q14,494117.6314,5403728.376,1.1215
Q15,494117.6314,5403703.376,1.633
Q16,494117.6314,5403678.376,2.2415
Q17,494117.6314,5403635.076,2.9945
Q18,494117.6314,5403610.076,2.8005
Q19,494117.6314,5403585.076,2.2465
Q20,494117.6314,5403560.076,1.5875
Q21,494117.6314,5403535.076,1.0405
Q22,494117.6314,5403510.076,0.6955
Q23,494117.6314,5403485.076,0.4815
Q24,494117.6314,5403460.076,0.2975
Q25,494117.6314,5403435.076,0.205
Q26,494117.6314,5403410.076,0.13
