ID,Cat,X,Y,ODI,ODI_norm,Ti,Hi,Di,Mi
50-14,geo,495394.96,5404813.13,139.47377437282182,0.21027157662145168,6.996516365089617,100.13195557583644,299.79483426831183,0
50-15,geo,495558.87,5404339.03,120.85297020143159,0.1214283094063762,10.696360676642431,94.96552460358399,203.8480567905465,0
50-16,geo,495724.71,5403865.27,127.47364705273498,0.15301677128111896,67.87786737238224,62.1096652499601,178.55824439614832,0
52-17,geo,495869.64,5404980.28,122.97175772319954,0.13153743274153365,13.787253202218185,76.59884942068692,290.77660401637337,0
52-18,geo,496022.31,5404502.09,243.32266559622028,0.7057536572034129,10.802438843099559,118.00361709832347,229.71224033079937,4
52-19,geo,496166.57,5404015.05,117.06939249067261,0.10337616716310881,12.199581667065164,91.445568185978,192.80155455820483,0
54-16,geo,496497.74,5404659.17,140.0199284728152,0.2128773778639604,7.299661205137876,115.48496899530309,231.909098093961,0
54-17,geo,496655.46,5404184.68,232.22101506199175,0.6527856491698902,31.632076585747054,88.85049918662209,244.4626534248036,15.835807313952996
54-18,geo,496814.18,5403710.73,122.59828469268668,0.12975552450910302,23.183162331400297,95.82689997510062,163.46037774927933,0
56-18,geo,496675.16,5405766.01,145.68381434404137,0.23990081473067593,31.35688348996579,73.00938163099495,367.97156700493304,0
56-20,geo,497136.01,5404331.36,177.0823977063814,0.38970920679363436,42.302542426066445,153.68644247985495,96.34014280397436,4
56-22,geo,497291.62,5403856.01,196.73456989604114,0.48347331972518987,23.986753969365452,194.58296740663815,131.99082698946356,0
60-18,geo,497934.73,5405121.27,234.28047987090875,0.6626117329767206,7.779613353427024,85.03859004071307,393.3243889503244,4
60-20,geo,498232.97,5404152.17,255.09654894108468,0.7619290111000012,21.953776901034665,90.74516898742826,248.8583234878655,19.481153011911772
64-24,geo,498879.63,5405400.98,181.65456839860866,0.41152387058708073,19.677945541612143,126.4920940458836,372.1935098688027,0
BK12-2,geo,497464.39,5404959.31,168.91176624461454,0.35072562758877013,14.60483496032637,101.83285177536301,356.83871846581263,4
BK12-3,geo,497621.5,5404458.17,237.06760025131643,0.6759095947896702,47.71126722422848,62.24286425580121,311.53493637598046,4
BK12-4,geo,497754,5403998.03,136.4085042446922,0.1956466114173052,12.194059716264915,62.65869693390099,284.31600565322884,20.744470752296728
BK12-7,geo,498083.15,5404638.49,119.90158843919355,0.11688909276739076,19.176510551953626,46.220981428689576,388.73251817333505,0
BK12-8,geo,498378.44,5403689.89,97.42799346662605,0.00966345497786439,12.271841550530773,49.22906775544344,273.11533575653414,0
BK14-9,geo,499027.9391,5404918.19,184.6976797689253,0.42604311229919045,47.183947454547656,119.96733261235146,317.0020155563583,0
BK17-6,geo,498782.26,5404074.31,191.17436615627196,0.4569445692976677,33.90684523957599,41.61461319480937,284.1627637214279,23.14
BK20-1,geo,498695.79,5404381,130.82067866035834,0.1689860721102563,7.951356513242335,28.60157438033999,326.3661707269399,4
BK23-3,geo,498046.92,5404790.11,254.7527687913263,0.7602887730400818,11.424368794551016,111.04053318145104,349.5779966989163,4
BK23-4,geo,498616.54,5404670.77,187.40712766283718,0.43897038445288095,23.32672756065915,134.90001531923156,305.10055826176267,4
BK23-5,geo,496173.39,5405602.25,212.28966962108075,0.5576895495243385,9.64811541889802,164.53803905874395,200.28909911698577,4
BK23-6,geo,496830.86,5405285.47,187.56870830585896,0.439741315295214,8.206169740141071,123.57734865078113,338.9048514908885,4
BK23-8,geo,497760.29,5405592.22,184.41327944563454,0.42468618626712384,9.273012685153304,73.24756997062292,417.5623351650098,4
BND-1,gray,495394.96,5403689.89,131.40262374747778,0.17176263870768013,38.97680814077955,83.40445225720815,211.37999341531156,0
BND-2,gray,499027.9391,5403689.89,122.95753236745554,0.1314695609638187,22.85316748544127,69.4792632033663,286.61893567941274,0
BND-3,gray,499027.9391,5405766.01,161.9689674935508,0.31760026313168843,21.245083040793368,107.82706450594564,339.57174223484174,0
BND-4,gray,495394.96,5405766.01,146.24475559487072,0.24257716817817962,16.478237061038186,108.06646106349348,267.2489380055088,0
BJ1,blue,495601.8241,5404270.607,123.14790944910406,0.1323778848890825,13.200146275778724,94.84693039488405,208.14380219984338,0
BJ2,blue,495603.0531,5405808.912,149.6437870047605,0.2587945695880096,16.13711708294668,113.23441761252559,264.2560668227804,0
BJ3,blue,496085.1344,5404207.591,130.2344111911531,0.16618888263623058,18.33256978994372,97.70666377175841,216.34034548582486,0
BJ4,blue,496085.1344,5404272.579,134.17746892943066,0.18500193330052472,17.565436718006495,101.7249939099088,223.30586171428237,0
BJ5,blue,496170.8574,5403926.975,120.52102264104184,0.11984452679754501,15.591730792946965,91.88699946313521,197.80285364523482,0
BJ6,blue,496177.6283,5404207.591,129.97765289906357,0.16496384179783088,18.024407900500726,97.67849475227635,216.1490501233559,0
BJ7,blue,498958.8109,5405677.692,166.2785283519937,0.3381619673095639,21.034339681631938,111.76101008974648,346.9132081643023,0
BJ8,blue,498958.8109,5403926.114,116.71515003428084,0.10168601152200636,26.876602680145464,57.96856609545037,288.6052537343561,0
WF-1-LOC1,pink,496227.86411087646,5403988.216488899,140.55538097916155,0.21543211984311736,13.821031472300946,92.00281974725524,196.0740350581178,23.14
WF-1-LOC2,pink,498908.1849,5403988.216488899,134.36070896065058,0.18587620505099955,29.40688774935989,51.45006515930595,287.53076899324424,23.14
WF-1-LOC3,pink,498908.1849,5404296.216488899,134.1080446038954,0.18467069712790912,19.76869905055231,55.75885743270614,306.7198683416294,22.295931902255102
WF-1-LOC4,pink,496227.86411087646,5404296.216488899,156.73722970195672,0.292638683903443,18.22440720659409,101.96750004958542,226.32034619068986,23.14
WF-2-LOC1,pink,495652.72694435687,5404326.216488899,127.50250938681802,0.15315447876334093,12.850357472330987,95.5849868020762,209.8109388852635,4
WF-2-LOC2,pink,498908.1849,5404326.216488899,117.3036134235869,0.10449367813302919,18.742092280807306,56.24288957406324,309.0029499432027,4
WF-2-LOC3,pink,498908.1849,5404634.216488899,153.26860754234275,0.2760892522807104,24.693733595094322,95.42511079508823,312.78551295012903,4
WF-2-LOC4,pink,495652.72694435687,5404634.216488899,138.22319162554214,0.20430481728235506,13.64180591931023,99.10980427337157,252.0222689058826,4
WF-3-LOC1,pink,495652.9969831333,5404664.216488899,138.59995552648968,0.2061024268603724,13.410549166262346,98.75901592295227,256.6714208286426,4
WF-3-LOC2,pink,498908.1849,5404664.216488899,157.08026874297232,0.2942753859978121,26.138522378857342,98.9229969079597,313.1419807235094,4
WF-3-LOC3,pink,498908.1849,5404972.216488899,179.94278298142802,0.4033566288378167,39.90259666095707,114.8941503894783,319.1358719200176,4
WF-3-LOC4,pink,495652.9969831333,5404972.216488899,135.7809363368272,0.19265236998600757,13.272478099585761,90.50694370340163,279.70629203229424,4
WF-4-LOC1,pink,495653.26702190976,5405002.216488899,135.6930504766332,0.19223305045019293,13.438103265800128,90.27734835317139,279.68501568487244,4
WF-4-LOC2,pink,498908.1849,5405002.216488899,178.68451726295933,0.3973532126359945,38.52754470533409,114.17786334601232,320.35972273926853,4
WF-4-LOC3,pink,498908.1849,5405310.216488899,181.41333622707464,0.41037290771355467,20.978020280647094,122.39864421587012,363.62115184381116,4
WF-4-LOC4,pink,495653.26702190976,5405310.216488899,144.4411335795897,0.23397175719894786,14.82642484416715,102.29915721834007,268.86926114979417,4
WF-5-LOC1,pink,495653.5370606862,5405340.216488899,145.55676571241582,0.239294642439462,14.917289814753467,103.87012726202526,267.64978278922706,4
WF-5-LOC2,pink,498869.6696709239,5405340.216488899,183.74122813473718,0.4214797063725534,20.079882018492583,124.85245340591017,369.00490036327074,4
WF-5-LOC3,pink,498869.6696709239,5405648.216488899,171.66425877252226,0.36385827357514094,20.729443311199798,113.31814718435541,350.52876697561703,4
WF-5-LOC4,pink,495653.5370606862,5405648.216488899,153.6163803691132,0.2777485401339375,15.451232065110453,114.98130952048754,260.46537898038235,4
WF-1-BJ1,green,496252.9138378776,5403988.216488899,142.0165287657196,0.22240352355087686,14.80202335978527,92.50994156789466,198.4228696698766,23.14
