ID,X,Y
GZM5,496205.6362,5404171.9020
GZM6,498938.3595,5404171.9020
GZM7,498938.3595,5403926.2350
GZM8,496205.6362,5403926.2350
GZM1,497646.1295,5404420.6100
GZM2,498938.3595,5404420.6100
GZM3,498938.3595,5404201.9020
GZM4,497646.1295,5404201.9020
