Var1,Var2,Var3,Var4,Var5
30,砂砾岩,9.05,含,
29,粉砂岩,10.05,,
28,泥岩,5.6,,
27,煤,0.4,,
26,泥岩,38.8,,
25,砾岩,38,含,
24,15-4煤,0.4,,
23,砾岩,72.15,1含,SK6
22,泥岩,9.4,,
21,粉砂岩,4.5,,
20,中砾岩,9.3,1含,
19,粉砂质泥岩,16.45,,SK5
18,15-7煤,0.5,,
17,泥岩,10.65,,
16,中砾岩,55.25,2含,
15,粉砂岩,34.6,,SK4
14,炭质泥岩,1,,
13,粉砂岩,2.2,,
12,炭质泥岩,0.8,,
11,煤,1.3,,
10,粉砂岩,15.3,,SK3
9,16-2煤,0.2,,
8,粉砂岩,12.2,,SK2
7,粉砂岩,2.5,,
6,炭质泥岩,0.8,,
5,粉砂岩,2,,SK1
4,16-3中煤,0.6,,
3,粉砂质泥岩,1.6,,
2,16-3煤,25.5,,
1,泥岩,4.25,,
