Var1,Var2,Var3,Var4,Var5
39,砾岩,45.33,含,SK6
38,泥岩,3.13,,
37,粗砂岩,3.47,,
36,泥岩,5.4,,
35,中砾岩,10.5,含,SK5
34,粉砂岩,7.4,,
33,泥岩,2.8,,
32,中砾岩,12.29,含,
31,粉砂岩,9.45,,
30,泥岩,1.63,,
29,15-5下煤,0.6,,
28,泥岩,13,,
27,粗砂岩,2.36,,
26,泥岩,6.1,,
25,粉砂岩,23.98,,SK4
24,泥岩,9.07,,
23,粉砂岩,4.65,,
22,中砾岩,13.31,2含,SK3
21,泥岩,12.5,,
20,中砾岩,28.8,2含,
19,泥岩,25.5,,
18,粉砂岩,22.8,,SK2
17,中砾岩,4.4,2含,
16,粉砂岩,9.1,,
15,粗砂岩,1.6,,
14,粉砂岩,4.3,,
13,粗砂岩,4.4,,
12,粉砂岩,14.2,,SK1
11,泥岩,5.1,,
10,16-1煤,0.35,,
9,泥岩,2.5,,
8,16-3上煤,5.95,,
7,泥岩,6.7,,
6,16-3中煤,2.3,,
5,泥岩,13.39,,
4,煤1,1.3,,
3,泥岩,7.63,,
2,16-3煤,15.87,,
1,泥岩,12,,
