ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ36,494728.87,5403730.13,177.3101,0.132483,green,52.89,248.42,0.8343,13.00,0.0,0.0,0.0
WF-1-BJ37,494753.91,5403730.13,177.5799,0.133945,green,53.15,248.61,0.8378,13.00,0.0,0.0,0.0
WF-1-BJ38,494778.96,5403730.13,177.8244,0.135270,green,53.15,249.06,0.8367,13.00,0.0,0.0,0.0
WF-1-BJ39,494804.00,5403730.12,178.0617,0.136556,green,52.89,249.82,0.8308,13.00,0.0,0.0,0.0
WF-1-BJ40,494829.05,5403730.12,178.3138,0.137921,green,52.39,250.91,0.8202,13.00,0.0,0.0,0.0
WF-1-BJ41,494854.09,5403730.11,178.6144,0.139550,green,51.68,252.35,0.8047,13.00,0.0,0.0,0.0
WF-1-BJ42,494879.14,5403730.11,178.9931,0.141601,green,50.85,254.09,0.7852,13.00,0.0,0.0,0.0
WF-1-BJ43,494904.18,5403730.11,179.4670,0.144169,green,50.00,256.02,0.7628,13.00,0.0,0.0,0.0
WF-1-BJ44,494929.22,5403730.10,180.0520,0.147338,green,49.21,258.09,0.7381,13.00,0.0,0.0,0.0
WF-1-BJ45,494954.27,5403730.10,180.7596,0.151172,green,48.58,260.19,0.7120,13.00,0.0,0.0,0.0
WF-1-BJ46,494979.31,5403730.09,181.5968,0.155708,green,48.19,262.24,0.6852,13.00,0.0,0.0,0.0
WF-1-BJ47,495004.36,5403730.09,182.5656,0.160957,green,48.11,264.15,0.6583,13.00,0.0,0.0,0.0
WF-1-BJ48,495029.40,5403730.09,183.6795,0.166992,green,48.46,265.79,0.6318,13.00,0.0,0.0,0.0
WF-1-BJ49,495054.45,5403730.08,184.9098,0.173657,green,49.26,267.11,0.6064,13.00,0.0,0.0,0.0
WF-1-BJ50,495079.49,5403730.08,186.2210,0.180761,green,50.45,268.08,0.5825,13.00,0.0,0.0,0.0
WF-1-BJ51,495104.54,5403730.07,187.5693,0.188066,green,51.98,268.71,0.5604,13.00,0.0,0.0,0.0
WF-1-BJ52,495129.58,5403730.07,188.8924,0.195235,green,53.74,269.02,0.5408,13.00,0.0,0.0,0.0
WF-1-BJ53,495154.63,5403730.07,190.1109,0.201836,green,55.54,269.07,0.5243,13.00,0.0,0.0,0.0
WF-1-BJ54,495179.67,5403730.06,191.1307,0.207362,green,57.19,268.95,0.5117,13.00,0.0,0.0,0.0
WF-1-BJ55,495204.72,5403704.52,191.7466,0.210698,green,58.32,268.71,0.5045,13.00,0.0,0.0,0.0
WF-1-BJ56,495204.72,5403678.98,191.2316,0.207908,green,57.61,268.62,0.5099,13.00,0.0,0.0,0.0
WF-1-BJ57,495204.72,5403653.44,190.2795,0.202750,green,56.38,268.35,0.5196,13.00,0.0,0.0,0.0
WF-1-BJ58,495204.72,5403627.90,188.9644,0.195625,green,54.82,267.82,0.5323,13.00,0.0,0.0,0.0
WF-1-BJ59,495204.72,5403602.36,187.3820,0.187052,green,53.07,267.03,0.5467,13.00,0.0,0.0,0.0
WF-1-BJ60,495204.72,5403576.82,185.6319,0.177570,green,51.24,266.02,0.5614,13.00,0.0,0.0,0.0
WF-1-BJ61,495204.72,5403551.28,183.8035,0.167664,green,49.41,264.88,0.5750,13.00,0.0,0.0,0.0
WF-1-BJ62,495179.67,5403525.75,181.7566,0.156574,green,47.69,263.18,0.5965,13.00,0.0,0.0,0.0
WF-1-BJ63,495154.63,5403525.75,181.3875,0.154574,green,47.68,262.50,0.6093,13.00,0.0,0.0,0.0
WF-1-BJ64,495129.58,5403525.76,180.9188,0.152035,green,47.68,261.63,0.6248,13.00,0.0,0.0,0.0
