seq,name,thickness,elasticModulus,density,tensileStrength
38,腐殖土,0.5,,,
37,中砂岩,94.5,,,
36,粉砂岩,1.1,,,
35,中砾岩,2,,,
34,粉砂岩,12.25,,,
33,15-5下煤,1.62,,,
32,炭质泥岩,0.57,,,
31,细砂岩,33.05,,,
30,砂质泥岩,0.5,,,
29,粉砂岩,3.6,,,
28,中砾岩,8.3,,,
27,粉砂岩,9.3,,,
26,中砂岩,8.8,,,
25,含砾粉砂岩,7.6,,,
24,粉砂岩,9.1,,,
23,15-7煤,2.7,,,
22,粉砂岩,19.7,,,
21,中砾岩,8.7,,,
20,细砂岩,15.5,,,
19,炭质泥岩,1,,,
18,粉砂岩,1.13,,,
17,16-1煤,0.54,,,
16,炭质泥岩,1.06,,,
15,粉砂岩,31.98,,,
14,炭质泥岩,0.38,,,
13,粉砂岩,11.72,,,
12,16-2下煤,0.4,,,
11,粉砂岩,12.9,,,
10,细砂岩,7.85,,,
9,粉砂岩,4.3,,,
8,炭质泥岩,0.5,,,
7,粉砂岩,26.53,,,
6,16-3上煤,12.08,,,
5,粉砂岩,4.11,,,
4,泥岩,0.55,,,
3,粉砂岩,6.7,,,
2,16-3煤,15.5,,,
1,粉砂岩,7.5,,,
