seq,name,thickness,elasticModulus,density,tensileStrength
72,腐殖土,0.5,,,
71,细砂岩,4.5,,,
70,黏土,16.5,,,
69,砂砾岩,9.4,,,
68,黏土,5.3,,,
67,粉砂岩,0.7,,,
66,砂砾岩,35.3,,,
65,泥岩,5.9,,,
64,粉砂岩,7.8,,,
63,炭质泥岩,0.7,,,
62,15-1上煤,3.2,,,
61,粉砂岩,4.2,,,
60,煤,0.7,,,
59,粉砂岩,4.2,,,
58,15-1下煤,7.1,,,
57,炭质泥岩,0.4,,,
56,粉砂岩,14.5,,,
55,细砂岩,3.3,,,
54,砂质砾岩,14.45,,,
53,15-3煤,7.8,,,
52,泥岩,2.45,,,
51,砂质砾岩,37.5,,,
50,细砂岩,4.5,,,
49,15-4煤,3.4,,,
48,泥岩,7.2,,,
47,砂质砾岩,21.6,,,
46,泥岩,2.35,,,
45,15-5上煤,1.8,,,
44,粉砂岩,0.9,,,
43,15-5下煤,5.15,,,
42,泥岩,4.6,,,
41,粗砂岩,4.6,,,
40,砂质砾岩,4.8,,,
39,砂质泥岩,0.75,,,
38,煤,1.2,,,
37,泥岩,2.45,,,
36,砂质砾岩,19.1,,,
35,煤,1.2,,,
34,泥岩,1.2,,,
33,砂质砾岩,18.5,,,
32,炭质泥岩,0.95,,,
31,砂质砾岩,2.9,,,
30,泥岩,2.25,,,
29,煤,0.6,,,
28,泥岩,2.05,,,
27,15-7煤,2,,,
26,泥岩,9.45,,,
25,粗砂岩,4,,,
24,砂质砾岩,1.95,,,
23,煤,0.75,,,
22,泥岩,2,,,
21,粗砂岩,4.3,,,
20,砂质砾岩,43.2,,,
19,细砂岩,11.05,,,
18,泥岩,1,,,
17,炭质泥岩,1,,,
16,16-1煤,8.1,,,
15,粗砂岩,31.9,,,
14,砂质泥岩,6.75,,,
13,16-2下煤,6,,,
12,粗砂岩,22.45,,,
11,泥岩,4.55,,,
10,细砂岩,31.85,,,
9,16-3煤,37.2,,,
8,泥岩,5.1,,,
7,煤,0.35,,,
6,泥岩,3.45,,,
5,煤,0.3,,,
4,泥岩,4.4,,,
3,粉砂岩,2.9,,,
2,16-4煤,1.2,,,
1,泥岩,3,,,
