seq,name,thickness,elasticModulus,density,tensileStrength
81,黄土,12.5,,,
80,砂砾岩,4.45,,,
79,细砂岩,11.1,,,
78,砂砾岩,7.85,,,
77,泥岩,2.7,,,
76,砂砾岩,5.85,,,
75,砂质泥岩,3.35,,,
74,砂砾岩,3.5,,,
73,砂质泥岩,26.16,,,
72,15-1煤,1.16,,,
71,炭质泥岩,3.33,,,
70,砂质泥岩,26.7,,,
69,泥岩,1.4,,,
68,砂砾岩,2.8,,,
67,炭质泥岩,0.45,,,
66,砂质泥岩,14.42,,,
65,煤,0.75,,,
64,砂质泥岩,8.63,,,
63,煤,0.4,,,
62,炭质泥岩,14.7,,,
61,煤,1,,,
60,砂质泥岩,4,,,
59,砂砾岩,7.2,,,
58,粉砂岩,12.5,,,
57,泥岩,2.35,,,
56,砂砾岩,8.55,,,
55,粉砂岩,21.95,,,
54,中砂岩,2.2,,,
53,砂质泥岩,8.7,,,
52,细砂岩,2.5,,,
51,砂质泥岩,9.3,,,
50,细砂岩,1.35,,,
49,砂质泥岩,3.8,,,
48,细砂岩,6.15,,,
47,粉砂岩,9.95,,,
46,砂质泥岩,1.03,,,
45,煤,1.21,,,
44,砂质泥岩,1.06,,,
43,粉砂岩,6.15,,,
42,泥岩,2.6,,,
41,砂砾岩,9.4,,,
40,细砂岩,7.1,,,
39,砂质泥岩,2.96,,,
38,15-7煤,1.39,,,
37,泥岩,2.8,,,
36,砂砾岩,4.75,,,
35,粉砂岩,4.45,,,
34,泥岩,1.6,,,
33,砂砾岩,13.3,,,
32,细砂岩,23.55,,,
31,砂质泥岩,1.6,,,
30,细砂岩,1.4,,,
29,砂质泥岩,5.2,,,
28,细砂岩,3.1,,,
27,砂质泥岩,2.2,,,
26,细砂岩,32.5,,,
25,砂质泥岩,17.2,,,
24,煤,0.45,,,
23,砂质泥岩,11.5,,,
22,炭质泥岩,0.5,,,
21,砂质泥岩,3.6,,,
20,细砂岩,0.75,,,
19,砂质泥岩,3.77,,,
18,煤,1.11,,,
17,砂质泥岩,4.02,,,
16,炭质泥岩,0.45,,,
15,砂质泥岩,4.45,,,
14,粉砂岩,3.9,,,
13,砂质泥岩,0.89,,,
12,煤,1.04,,,
11,砂质泥岩,5.07,,,
10,中砾岩,0.65,,,
9,砂质泥岩,17.15,,,
8,煤,0.45,,,
7,砂质泥岩,5.8,,,
6,16-3上煤,5.07,,,
5,砂质泥岩,2.26,,,
4,16-3中煤,1.42,,,
3,砂质泥岩,1.67,,,
2,16-3煤,20.67,,,
1,砂质泥岩,0.66,,,
