seq,name,thickness,elasticModulus,density,tensileStrength
76,腐殖土,0.5,,,
75,细砂岩,23.8,,,
74,泥岩,3.4,,,
73,15-1上煤,2.7,,,
72,泥岩,0.7,,,
71,15-1下煤,0.9,,,
70,泥岩,9.35,,,
69,中砾岩,16.4,,,
68,细砂岩,2.75,,,
67,中砾岩,16.55,,,
66,粉砂岩,1,,,
65,炭质泥岩,0.5,,,
64,中砾岩,43.35,,,
63,粉砂岩,2.2,,,
62,15-4煤,3.2,,,
61,炭质泥岩,0.45,,,
60,粉砂岩,1.4,,,
59,泥岩,0.6,,,
58,粉砂岩,2.7,,,
57,中砾岩,13.75,,,
56,粉砂岩,4.4,,,
55,15-5上煤,1.9,,,
54,炭质泥岩,0.9,,,
53,15-5下煤,5.4,,,
52,细砂岩,1.85,,,
51,炭质泥岩,1.1,,,
50,细砂岩,4.6,,,
49,中砾岩,9.5,,,
48,细砂岩,1.65,,,
47,中砾岩,17.7,,,
46,15-6煤,0.85,,,
45,细砂岩,3.3,,,
44,中砾岩,21.35,,,
43,粉砂岩,3,,,
42,炭质泥岩,0.5,,,
41,粉砂岩,1.6,,,
40,15-7煤,1.2,,,
39,粉砂岩,1.85,,,
38,中砂岩,1.5,,,
37,粉砂岩,2.5,,,
36,中砾岩,16.55,,,
35,粉砂岩,4.25,,,
34,中砾岩,57.5,,,
33,粉砂岩,1,,,
32,泥岩,0.95,,,
31,粉砂岩,0.9,,,
30,炭质泥岩,0.5,,,
29,粉砂岩,1.6,,,
28,16-1煤,2.8,,,
27,炭质泥岩,1.8,,,
26,粉砂岩,0.5,,,
25,泥岩,0.7,,,
24,粉砂岩,2.8,,,
23,泥岩,1.3,,,
22,粉砂岩,1,,,
21,炭质泥岩,0.5,,,
20,粉砂岩,2.75,,,
19,中砾岩,13.75,,,
18,粉砂岩,2.15,,,
17,炭质泥岩,0.5,,,
16,粉砂岩,2,,,
15,泥岩,1.1,,,
14,细砂岩,4.35,,,
13,16-2上煤,2.6,,,
12,粉砂岩,4.2,,,
11,16.2下煤,2.6,,,
10,粉砂岩,0.6,,,
9,炭质泥岩,1,,,
8,粉砂岩,11.35,,,
7,中砾岩,43.15,,,
6,16-3煤,42.4,,,
5,粉砂岩,0.5,,,
4,中砾岩,9.9,,,
3,粉砂岩,4.1,,,
2,16-4煤,0.8,,,
1,粉砂岩,9.85,,,
