seq,name,thickness,elasticModulus,density,tensileStrength
11,黄土,112.17,0.54,1800,0.0
10,砂质泥岩,7.52,7.17,2680,1.32
9,砂质泥岩,13.01,7.17,2680,1.32
8,粉砂岩,3.21,10.2,2590,2.6
7,粗粒砂岩,6.7,11.49,2780,3.075
6,含砾粗砂岩,12.09,11.49,2780,1.44
5,泥岩,1.8,7.17,2680,1.32
4,中粒砂岩,29.02,20.0,2570,2.72
3,5煤,9.4,2.72,1410,0.83
2,砂质泥岩,7.66,7.17,2680,1.32
1,风化煤,1.89,2.72,1410,0.83
0,6煤,5.53,2.72,1410,0.83
