seq,name,thickness,elasticModulus,density,tensileStrength
84,黄土,21.9,,,
83,砂砾岩,25.1,,,
82,粉砂岩,6.55,,,
81,砂质泥岩,2.4,,,
80,15-1上煤,0.8,,,
79,砂质泥岩,7.55,,,
78,细砂岩,11.5,,,
77,15-1煤,2.21,,,
76,砂质泥岩,4.32,,,
75,粉砂岩,28.9,,,
74,砂砾岩,5.2,,,
73,砂质泥岩,1.69,,,
72,煤,2.61,,,
71,粉砂岩,11.81,,,
70,15-3煤,1.09,,,
69,炭质泥岩,7.25,,,
68,泥岩,7.8,,,
67,砂砾岩,16.55,,,
66,砂质泥岩,14.65,,,
65,砂砾岩,7.85,,,
64,15-4煤,0.35,,,
63,砂质泥岩,1.55,,,
62,粉砂岩,7.8,,,
61,砂质泥岩,6.25,,,
60,15-5煤,0.45,,,
59,砂质泥岩,32.1,,,
58,细砂岩,19.85,,,
57,泥岩,1.85,,,
56,砂砾岩,7.45,,,
55,砂质泥岩,2.8,,,
54,砂砾岩,1.3,,,
53,15-6煤,0.4,,,
52,砂质泥岩,3,,,
51,砂砾岩,10.35,,,
50,粉砂岩,1.85,,,
49,泥岩,2.2,,,
48,砂砾岩,3.95,,,
47,粉砂岩,9.85,,,
46,砂质泥岩,3.04,,,
45,15-7煤,1.42,,,
44,泥岩,1.39,,,
43,砂砾岩,7.3,,,
42,砂质泥岩,4.95,,,
41,泥岩,4.65,,,
40,砂砾岩,16.9,,,
39,粉砂岩,3.5,,,
38,炭质泥岩,0.25,,,
37,粉砂岩,7.05,,,
36,炭质泥岩,1.15,,,
35,粉砂岩,4.7,,,
34,煤,0.65,,,
33,粉砂岩,4.65,,,
32,细砂岩,4.9,,,
31,粉砂岩,10.6,,,
30,煤,0.66,,,
29,细砂岩,1.44,,,
28,泥岩,3.65,,,
27,砂质泥岩,8.45,,,
26,炭质泥岩,5,,,
25,细砂岩,11.3,,,
24,砂砾岩,1.3,,,
23,细砂岩,5.25,,,
22,砂质泥岩,4.35,,,
21,砂砾岩,0.5,,,
20,砂质泥岩,5.85,,,
19,细砂岩,0.8,,,
18,粉砂岩,9.3,,,
17,砂质泥岩,2.8,,,
16,粉砂岩,5.5,,,
15,炭质泥岩,4.84,,,
14,砂质泥岩,4.12,,,
13,煤,0.52,,,
12,砂质泥岩,3.31,,,
11,16-2上煤,4.02,,,
10,砂质泥岩,2.25,,,
9,16-2下煤,2.1,,,
8,炭质泥岩,0.45,,,
7,砂质泥岩,3.1,,,
6,16-3上煤,11.89,,,
5,砂质泥岩,4.18,,,
4,16-3中煤,8.25,,,
3,炭质泥岩,0.33,,,
2,16-3煤,23.27,,,
1,泥岩,6.96,,,
