seq,name,thickness,elasticModulus,density,tensileStrength
33,腐殖土,0.5,,,
32,细砂岩,39.3,,,
31,黏土,9.1,,,
30,砂砾岩,9.05,,,
29,粉砂岩,10.05,,,
28,泥岩,5.6,,,
27,煤,0.4,,,
26,泥岩,38.8,,,
25,砾岩,38,,,
24,煤,0.4,,,
23,砾岩,72.15,,,
22,泥岩,9.4,,,
21,粉砂岩,4.5,,,
20,中砾岩,9.3,,,
19,粉砂质泥岩,16.45,,,
18,煤,0.5,,,
17,泥岩,10.65,,,
16,中砾岩,55.25,,,
15,粉砂岩,34.6,,,
14,炭质泥岩,1,,,
13,粉砂岩,2.2,,,
12,炭质泥岩,0.8,,,
11,煤,1.3,,,
10,粉砂岩,15.3,,,
9,煤,0.2,,,
8,粉砂岩,12.2,,,
7,粉砂岩,2.5,,,
6,炭质泥岩,0.8,,,
5,粉砂岩,2,,,
4,16-3中煤,0.6,,,
3,粉砂质泥岩,1.6,,,
2,16-3煤,25.5,,,
1,泥岩,4.25,,,
