seq,name,thickness,elasticModulus,density,tensileStrength
58,腐殖土,0.5,,,
57,细砂岩,3.5,,,
56,黏土,8.1,,,
55,粉砂岩,8.65,,,
54,细砂岩,29.25,,,
53,中砾岩,14.3,,,
52,粉砂岩,4.7,,,
51,粗砂岩,3.25,,,
50,中砾岩,4.65,,,
49,粉砂岩,4.8,,,
48,炭质泥岩,9.5,,,
47,15-5下煤,2.65,,,
46,粉砂岩,7,,,
45,泥岩,1.2,,,
44,中砾岩,3.45,,,
43,粉砂岩,4.4,,,
42,泥岩,5.1,,,
41,15-6煤,1,,,
40,中砾岩,9.3,,,
39,粗砂岩,6,,,
38,粉砂岩,5,,,
37,中砾岩,13.6,,,
36,粉砂岩,13.3,,,
35,炭质泥岩,1,,,
34,粉砂岩,10.1,,,
33,中砾岩,1.5,,,
32,粉砂岩,5.85,,,
31,细砂岩,1.2,,,
30,泥岩,2.15,,,
29,中砾岩,21.5,,,
28,粉砂岩,12.6,,,
27,16-1煤,1,,,
26,炭质泥岩,10.7,,,
25,细砂岩,1,,,
24,粉砂岩,3.55,,,
23,细砂岩,1,,,
22,粉砂岩,1.6,,,
21,细砂岩,1.2,,,
20,粉砂岩,11.9,,,
19,中砾岩,6.45,,,
18,粉砂岩,15.1,,,
17,炭质泥岩,0.35,,,
16,粉砂岩,5.9,,,
15,16-2下煤,2.6,,,
14,粉砂岩,18.6,,,
13,炭质泥岩,1.42,,,
12,粉砂岩,4.86,,,
11,炭质泥岩,0.69,,,
10,粉砂岩,3.57,,,
9,16-3上煤,18.85,,,
8,炭质泥岩,1.4,,,
7,粉砂岩,3.35,,,
6,16-3中煤,3.03,,,
5,粉砂岩,5.17,,,
4,16-3煤,25.29,,,
3,炭质泥岩,10,,,
2,16-4煤,1.17,,,
1,细砂岩,3.4,,,
