seq,name,thickness,elasticModulus,density,tensileStrength
7,黄土,91.5,0.54,1800,0.0
6,砂质泥岩,9.71,7.17,2680,1.32
5,砂质泥岩,12.09,7.17,2680,1.32
4,细粒砂岩,11.32,9.54,2830,2.05
3,砂质泥岩,9.31,7.17,2680,1.32
2,中粒砂岩,16.27,20.0,2570,2.72
1,砂质泥岩,4.3,7.17,2680,1.32
0,6煤,14.8,2.72,1410,0.83
