seq,name,thickness,elasticModulus,density,tensileStrength
78,砾岩,57.5,,,
77,中砂岩,1.22,,,
76,泥岩,1.92,,,
75,15-1上煤,4.89,,,
74,泥岩,6.17,,,
73,砂质泥岩,11.38,,,
72,15-1下煤,4.15,,,
71,细砂岩,6.5,,,
70,炭质泥岩,0.29,,,
69,砂质泥岩,5.23,,,
68,中砂岩,1.88,,,
67,砂质泥岩,7.38,,,
66,砾岩,2.41,,,
65,砂砾岩,14.76,,,
64,15-2煤,3.86,,,
63,砂质泥岩,1.23,,,
62,15-3煤,3.8,,,
61,砂质泥岩,2.29,,,
60,砾岩,2,,,
59,砂砾岩,36.99,,,
58,细砂岩,4.62,,,
57,砂质泥岩,0.19,,,
56,15-4煤,4.17,,,
55,砂质泥岩,0.27,,,
54,砾岩,4.67,,,
53,泥岩,4.66,,,
52,砂砾岩,19.47,,,
51,15-5上煤,9.32,,,
50,砂质泥岩,4.37,,,
49,煤,0.8,,,
48,泥岩,6,,,
47,煤,6.65,,,
46,泥岩,7.46,,,
45,细砂岩,9.3,,,
44,砾岩,2.35,,,
43,煤,0.69,,,
42,砂质泥岩,6.21,,,
41,砂砾岩,18.54,,,
40,砾岩,1.02,,,
39,砂质泥岩,5.45,,,
38,煤,5.21,,,
37,砂质泥岩,2.31,,,
36,砂砾岩,16.25,,,
35,煤,1.93,,,
34,砂质泥岩,1.19,,,
33,砾岩,1,,,
32,细砂岩,7.5,,,
31,砂砾岩,9.28,,,
30,粉砂岩,8,,,
29,砾岩,22.88,,,
28,砂质泥岩,6.73,,,
27,16-1煤,8.14,,,
26,泥岩,2.45,,,
25,煤,0.85,,,
24,砂质泥岩,0.7,,,
23,煤,1.87,,,
22,砂质泥岩,0.75,,,
21,煤,1.75,,,
20,砂质泥岩,1.26,,,
19,粉砂岩,3.92,,,
18,细砂岩,1.82,,,
17,泥岩,1,,,
16,16-2上煤,1.88,,,
15,砂质泥岩,0.56,,,
14,粉砂岩,4.29,,,
13,煤,1.68,,,
12,砂质泥岩,0.95,,,
11,16-2下煤,3.25,,,
10,砂质泥岩,2.58,,,
9,细砂岩,1.83,,,
8,粗砂岩,13.73,,,
7,细砂岩,9.4,,,
6,粗砾岩,2.02,,,
5,细砂岩,2.72,,,
4,粉砂岩,13.52,,,
3,砂质泥岩,11.47,,,
2,16-3煤,33.48,,,
1,砂质泥岩,11,,,
