plan_code,scheme_name,coverage_pct,odi_mean,odi_p90,odi_gt_070_pct,risk_score,qualified,source_signature
A,（a）工程效率优先方案,89.34119055174328,0.4463420959803343,0.6407388847574798,0.4444444444444444,0.44809632432195173,True,x|wb=50.0000|ws=30.0000|N=5|B=308.0000
B,（b）资源回收优先方案,98.5183914788532,0.45520242481522927,0.6461557019908458,0.5555555555555556,0.45458904143774403,True,y|wb=50.0000|ws=30.0000|N=9|B=335.0000|theta=0.0
C,（c）低扰动优先方案,80.66997467860756,0.4415510148088087,0.6352599850862843,1.2222222222222223,0.4449498355179372,True,x|wb=50.0000|ws=30.0000|N=4|B=350.0000
D,（d）综合权重调节方案,56.51904871722216,0.6808142430588866,0.8364482644187691,60.111111111111114,0.9223454673000169,False,y|wb=80.0000|ws=30-30|N=5|B=350-350|h=1db0251b
