ID,X,Y
BJ1,495601.8241,5404270.607
BJ2,495603.0531,5405808.912
BJ3,496085.1344,5404207.591
BJ4,496085.1344,5404272.579
BJ5,496170.8574,5403926.975
BJ6,496177.6283,5404207.591
BJ7,498958.8109,5405677.692
BJ8,498958.8109,5403926.114
