B,BMax,BMin,N,abnormalFaceCount,abnormalFaceIndices,coveragePct,coveragePctEff,coverageRatioEff,coverageRatioRaw,coveredArea,efficiencyScore,fallbackMode,innerArea,key,maxL,meanL,meanThicknessM,minL,qualified,qualifiedFullCover,rank,recoveryScore,signature,thicknessReason,tonnageMinedArea,tonnageTotal,wb,wbFixedRaw,ws
335,335,335,9,,,91.20484584528343,98.5183914788532,0.9851839147885321,0.9120484584528343,4924527.758111916,98.5183914788532,TONNAGE,5399414.59521318,y|wb=50.0000|ws=30.0000|N=9|B=335.0000|theta=0.0,1738.453761120934,1633.3425400039523,27.319072152664464,1406.462968647747,True,False,1,89.76294263661651,y|wb=50.0000|ws=30.0000|N=9|B=335.0000|theta=0.0,AXIS_Y_THK_UNCHANGED,4923717.570256106,188346940.79832175,50,50,30
334,334,334,9,,,90.94345009816021,98.23681554852051,0.9823681554852051,0.9094345009816021,4910413.917990478,98.23681554852051,TONNAGE,5399414.59521318,y|wb=50.0000|ws=30.0000|N=9|B=334.0000|theta=0.0,1738.5702627444596,1633.5375642017561,27.78967028834406,1406.545214627407,True,False,2,88.60677937665214,y|wb=50.0000|ws=30.0000|N=9|B=334.0000|theta=0.0,AXIS_Y_THK_UNCHANGED,,191042297.26435155,50,50,30
333,333,333,9,,,90.68198933592288,97.95516463528408,0.9795516463528408,0.9068198933592289,4896296.56743348,97.95516463528408,TONNAGE,5399414.59521318,y|wb=50.0000|ws=30.0000|N=9|B=333.0000|theta=0.0,1738.6867643679852,1633.7325883995597,27.689217099850502,1406.6274606070667,True,False,3,87.45060411942316,y|wb=50.0000|ws=30.0000|N=9|B=333.0000|theta=0.0,AXIS_Y_THK_UNCHANGED,,189804466.0972858,50,50,30
332,332,332,9,,,90.42046355857143,97.67343873725099,0.9767343873725098,0.9042046355857143,4882175.706440921,97.67343873725099,TONNAGE,5399414.59521318,y|wb=50.0000|ws=30.0000|N=9|B=332.0000|theta=0.0,1738.803265991511,1633.9276125973636,27.805653167831153,1406.7097065867267,True,False,4,86.29441686462687,y|wb=50.0000|ws=30.0000|N=9|B=332.0000|theta=0.0,AXIS_Y_THK_UNCHANGED,,190052918.1567902,50,50,30
331,331,331,9,,,90.15887276610587,97.39163785250261,0.9739163785250261,0.9015887276610588,4868051.335012802,97.39163785250261,TONNAGE,5399414.59521318,y|wb=50.0000|ws=30.0000|N=9|B=331.0000|theta=0.0,1738.9197676150363,1634.1226367951667,27.705539894835773,1406.7919525663867,True,False,5,85.13821761195598,y|wb=50.0000|ws=30.0000|N=9|B=331.0000|theta=0.0,AXIS_Y_THK_UNCHANGED,,188820786.661228,50,50,30
330,330,330,9,,,89.8972169585262,97.10976197916499,0.9710976197916499,0.898972169585262,4853923.453149122,97.10976197916499,TONNAGE,5399414.59521318,y|wb=50.0000|ws=30.0000|N=9|B=330.0000|theta=0.0,1739.0362692385618,1634.3176609929703,27.823554231977834,1406.8741985460465,True,False,6,83.98200636111089,y|wb=50.0000|ws=30.0000|N=9|B=330.0000|theta=0.0,AXIS_Y_THK_UNCHANGED,,189074763.4111892,50,50,30
241,241,241,12,,,88.5747656209845,98.59970899412271,0.985997089941227,0.885747656209845,4782518.822615303,98.59970899412271,TONNAGE,5399414.59521318,y|wb=50.0000|ws=30.0000|N=12|B=241.0000|theta=0.0,1748.0499647209251,1653.706370198929,27.581218214947818,1412.7571015739468,True,False,7,83.10928677239295,y|wb=50.0000|ws=30.0000|N=12|B=241.0000|theta=0.0,AXIS_Y_THK_UNCHANGED,,184670773.3691072,50,50,30
240,240,240,12,,,88.21524060643804,98.20379645426095,0.9820379645426095,0.8821524060643804,4763106.57650644,98.20379645426095,TONNAGE,5399414.59521318,y|wb=50.0000|ws=30.0000|N=12|B=240.0000|theta=0.0,1748.0650326663579,1653.8564501758476,27.707251237743677,1412.731772216944,True,False,8,81.93482965490398,y|wb=50.0000|ws=30.0000|N=12|B=240.0000|theta=0.0,AXIS_Y_THK_UNCHANGED,,184761626.82237834,50,50,30
288,288,288,10,,,87.6903156301494,95.71843122024917,0.9571843122024917,0.876903156301494,4734763.700722791,95.71843122024917,TONNAGE,5399414.59521318,y|wb=50.0000|ws=30.0000|N=10|B=288.0000|theta=0.0,1743.929337426639,1644.0151738620802,27.8686989290563,1410.3285296917636,True,False,9,80.42606010635102,y|wb=50.0000|ws=30.0000|N=10|B=288.0000|theta=0.0,AXIS_Y_THK_UNCHANGED,,184732385.70593506,50,50,30
285,285,285,10,,,86.81081375962808,94.7612668024726,0.947612668024726,0.8681081375962807,4687275.74836069,94.7612668024726,TONNAGE,5399414.59521318,y|wb=50.0000|ws=30.0000|N=10|B=285.0000|theta=0.0,1744.278842297216,1644.6581573195406,27.44083893688094,1410.5752676307436,True,False,10,80,y|wb=50.0000|ws=30.0000|N=10|B=285.0000|theta=0.0,AXIS_Y_THK_UNCHANGED,,180071890.40891925,50,50,30
