Var1,Var2,Var3,Var4,Var5
58,中砾岩,46.3,含,
57,炭质泥岩,0.4,,
56,粉砂岩,7.6,,
55,煤,1.2,,
54,粉砂岩,6.15,,
53,中砾岩,27.85,含,
52,粉砂岩,7.25,,
51,15-1上煤,3.95,,
50,粉砂岩,19,,
49,15-1下煤,1.8,,
48,煤,0.8,,
47,粉砂岩,1.3,,
46,煤,0.8,,
45,粉砂岩,16.5,,
44,15-2煤,0.8,,
43,粉砂岩,4.6,,
42,15-3煤,1.15,,
41,粉砂岩,21.1,,
40,煤,1.1,,
39,粉砂岩,0.95,,
38,炭质泥岩,0.3,,
37,粉砂岩,2.5,,
36,煤,0.55,,
35,粉砂岩,1.3,,
34,煤,0.65,,
33,粉砂岩,2.35,,
32,煤,0.75,,
31,粉砂岩,2.05,,
30,15-4煤,1.15,,
29,粉砂岩,13.85,,
28,含砾细砂岩,6.65,1含,
27,粉砂岩,13.85,,
26,15-5下煤,0.8,,
25,粉砂岩,81.65,,
24,15-6煤,0.7,,
23,粉砂岩,34.85,,
22,15-7煤,0.55,,
21,粉砂岩,24.05,,
20,中砾岩,10.8,2含,
19,粉砂岩,19.6,,目标层
18,16-1煤,1.1,,
17,粉砂岩,8.1,,
16,含砾细砂岩,8.2,3含,
15,粉砂岩,69.45,,
14,16-2下煤,0.4,,
13,粉砂岩,13.1,,
12,16-3上煤,23,,
11,粉砂岩,0.95,,
10,炭质泥岩,0.6,,
9,粉砂岩,2,,
8,16-3煤,22.65,,
7,粉砂岩,4.2,,
6,煤,0.6,,
5,粉砂岩,6.05,,
4,炭质泥岩,0.8,,
3,粉砂岩,0.3,,
2,16-4煤,4.3,,
1,粉砂岩,38.55,,
