Var1,Var2,Var3,Var4,Var5
72,砂质砾岩,18.3,含,
71,泥岩,1.75,,
70,细砂岩,6,,
69,砂质砾岩,34.15,含,
68,中砂岩,1,含,
67,15-4煤,6,,
66,粉砂岩,0.4,,
65,细砂岩,1.6,,
64,砂质砾岩,15.35,1含,
63,粉砂岩,3,,
62,15-5上煤,4.4,,
61,炭质泥岩,0.4,,
60,粉砂岩,1.9,,
59,15-5下煤,4.2,,
58,粉砂岩,3.6,,
57,炭质泥岩,0.4,,
56,粉砂岩,6.9,,
55,炭质泥岩,0.5,,
54,粉砂岩,4.3,,
53,泥岩,0.4,,
52,粉砂岩,4.6,,
51,炭质泥岩,0.6,,
50,粉砂岩,2.4,,
49,砂质砾岩,6.4,1含,
48,细砂岩,1,,
47,砂质砾岩,3.65,1含,
46,15-6煤,0.7,,
45,粉砂岩,3.1,,
44,泥岩,2,,
43,砂质砾岩,25.35,1含,
42,砂质泥岩,0.5,,
41,泥岩,5,,
40,15-7煤,2.4,,
39,泥岩,0.9,,
38,细砂岩,1.8,,
37,砾岩,9.65,2含,
36,泥岩,1.3,,
35,粉砂岩,2,,
34,泥岩,4.7,,
33,粉砂岩,2,,
32,砂质砾岩,20.3,2含,
31,泥岩,0.4,,
30,粉砂岩,0.5,,
29,粗砂岩,2.6,,
28,粉砂岩,1.9,,
27,细砂岩,1,,
26,粉砂岩,6.5,,
25,炭质泥岩,0.5,,
24,粉砂岩,6.9,,目标层
23,16-1煤,4.55,,
22,细砂岩,0.9,,
21,粉砂岩,0.7,,
20,泥岩,0.6,,
19,粉砂岩,6.55,,
18,细砂岩,2,,
17,粉砂岩,6.25,,
16,细砂岩,1.8,,
15,粉砂岩,3.95,,
14,泥岩,0.4,,
13,粉砂岩,7.3,,
12,16-2上煤,1.2,,
11,粉砂岩,16.15,,
10,16-2下煤,2,,
9,粉砂岩,6,,
8,泥岩,8.9,,
7,细砂岩,3,,
6,粗砂岩,5.9,,
5,砂质砾岩,21.5,3含,
4,16-3上煤,12.8,,
3,粉砂岩,3.4,,
2,16-3煤,22,,
1,粉砂岩,26.95,,
