Var1,Var2,Var3,Var4,Var5
65,砾岩,6.5,含,
64,砂质泥岩,0.85,,
63,15-2煤,7.95,,
62,泥岩,2.13,,
61,砾岩,33.79,含,
60,粉砂岩,2.9,,
59,砂质泥岩,4.29,,
58,15-4煤,3.36,,
57,泥岩,3.67,,
56,砾岩,20.02,1含,
55,粉砂岩,10.61,,
54,砂质泥岩,0.38,,
53,15-5下煤,8.86,,
52,砂质泥岩,1.33,,
51,煤,0.55,,
50,砂质泥岩,1.47,,
49,煤,0.35,,
48,砂质泥岩,4.91,,
47,砂砾岩,2.65,1含,
46,煤,1.89,,
45,泥岩,2.75,,
44,粉砂岩,8.59,,
43,炭质泥岩,3.25,,
42,砾岩,5.34,1含,
41,粉砂岩,5.81,,
40,砂质泥岩,1.5,,
39,粉砂岩,9.59,,
38,砂质泥岩,12.87,,
37,15-7煤,1.68,,
36,砂质泥岩,13.79,,
35,细砂岩,1.7,,
34,砂砾岩,8.31,2含,
33,煤,0.45,,
32,泥岩,0.84,,
31,细砂岩,9.42,,目标层
30,砂质泥岩,4.26,,
29,粗砂岩,3.03,,
28,砂质泥岩,4.27,,
27,粉砂岩,5.85,,
26,细砂岩,4.82,,
25,砂质泥岩,4.29,,
24,砂砾岩,17.34,2含,
23,泥岩,4.34,,
22,粉砂岩,1.45,,
21,砂质泥岩,1.69,,
20,泥岩,1.79,,
19,16-1煤,9.44,,
18,砂质泥岩,9.07,,
17,泥岩,7.19,,
16,砂砾岩,10.62,3含,
15,砂质泥岩,8.14,,
14,16-2上煤,3.3,,
13,砂质泥岩,3.37,,
12,16-2下煤,3.41,,
11,砂质泥岩,12.89,,
10,粗砂岩,1.28,,
9,砂质泥岩,9.12,,
8,粉砂岩,1.12,,
7,泥岩,14.4,,
6,粉砂岩,1.6,,
5,砂质泥岩,10.82,,
4,细砂岩,6.5,,
3,砂质泥岩,0.72,,
2,16-3煤,40.08,,
1,砂质泥岩,9.96,,
