Var1,Var2,Var3,Var4,Var5
34,砂砾岩,14.45,2含,
33,粉砂岩,16.89,,
32,中砾岩,12.2,2含,
31,粉砂质泥岩,12.27,,
30,中砾岩,1.63,2含,
29,粉砂质泥岩,4.48,,
28,中砾岩,12.2,2含,
27,粉砂质泥岩,6.22,,
26,粗砾岩,6.5,2含,
25,粉砂质泥岩,5.84,,
24,粗砾岩,6.22,2含,
23,粉砂岩,11.56,,
22,中砾岩,0.6,2含,
21,泥岩,18.33,,
20,中砾岩,61.22,2含,
19,泥岩,25.65,,
18,含砾粉砂岩,5.18,2含,
17,16-2下煤,0.3,,
16,含砾粉砂岩,48.26,3含,
15,粉砂岩,11.95,,目标层
14,煤,0.29,,
13,粉砂岩,15.13,,
12,煤,0.67,,
11,粉砂质泥岩,20.77,,
10,16-3上煤,0.43,,
9,粉砂质泥岩,7.7,,
8,16-3中煤,0.9,,
7,粉砂质泥岩,2.3,,
6,16-3煤,17.56,,
5,粉砂质泥岩,1.4,,
4,煤,0.24,,
3,粉砂质泥岩,5.92,,
2,煤,0.6,,
1,细砂岩,23.82,,
