Var1,Var2,Var3,Var4,Var5
61,砾岩,10.62,含,
60,粗砂岩,5.44,,
59,泥岩,2,,
58,中砾岩,31.16,含,
57,泥岩,9.82,,
56,15-1上煤,2.18,,
55,粉砂岩,2.12,,
54,炭质泥岩,1.1,,
53,泥岩,4.68,,
52,粉砂岩,11.14,,
51,泥岩,1.98,,
50,15-1下煤,3.35,,
49,细砂岩,43.73,,
48,粉砂质泥岩,4.67,,
47,15-3煤,4,,
46,细砂岩,39.92,,
45,煤7,0.8,,
44,泥岩,9.54,,
43,15-4煤,1.74,,
42,泥岩,3.71,,
41,中砾岩,9.34,1含,
40,粉砂岩,1,,
39,15-5上煤,2.45,,
38,粉砂岩,6.4,,
37,15-5下煤,3.2,,
36,粉砂岩,45.37,,
35,泥岩,9.77,,
34,15-6煤,1,,
33,泥岩,1.51,,
32,粉砂岩,4.1,,
31,细砂岩,2.03,,
30,中砾岩,11.9,1含,
29,粉砂岩,17.92,,
28,15-7煤,2.22,,
27,粉砂岩,10.76,,
26,含砾细砂岩,8.55,2含,
25,粉砂岩,4.94,,
24,中砾岩,20.01,2含,
23,粉砂岩,14.32,,目标层
22,煤6,0.6,,
21,粉砂岩,1.8,,
20,16-1煤,3.4,,
19,泥岩,19.2,,
18,煤5,0.6,,
17,泥岩,18.4,,
16,16-2下煤,0.5,,
15,粉砂岩,18.1,,
14,煤4,1.4,,
13,粉砂岩,2,,
12,煤3,4.4,,
11,含砾粗砂岩,31.85,3含,
10,16-3煤,35.96,,
9,粉砂质泥岩,2.4,,
8,煤2,0.6,,
7,粉砂质泥岩,8.49,,
6,炭质泥岩,0.8,,
5,粉砂质泥岩,3,,
4,煤1,0.7,,
3,粉砂质泥岩,9.8,,
2,16-4煤,5.2,,
1,粉砂岩,10.98,,
