Var1,Var2,Var3,Var4,Var5
77,砂砾岩,45.5,含,
76,细砂岩,1.65,,
75,粉砂岩,2.75,,
74,砂砾岩,35.8,含,
73,细砂岩,7.02,,
72,煤,1.13,,
71,泥岩,1.68,,
70,煤,3.7,,
69,泥岩,2.66,,
68,砂质泥岩,22.58,,
67,15-4煤,3.74,,
66,粉砂岩,16.07,,
65,砾岩,15.95,1含,
64,粗砂岩,4.53,,
63,砾岩,1.45,1含,
62,煤,5.43,,
61,泥岩,1.87,,
60,煤,4.4,,
59,砂质泥岩,5,,
58,砾岩,4.31,1含,
57,砂质泥岩,9.17,,
56,砾岩,25.96,1含,
55,煤,1.86,,
54,砂质泥岩,4.24,,
53,15-5煤,2.46,,
52,砾岩,3.2,1含,
51,粉砂岩,6.4,,
50,泥岩,10.59,,
49,煤,2.38,,
48,砾岩,5.19,1含,
47,煤,2.49,,
46,砂质泥岩,6.73,,
45,煤,0.8,,
44,砂质泥岩,11.16,,
43,煤,0.73,,
42,砂质泥岩,3.32,,
41,煤,2.17,,
40,砂质泥岩,5.4,,
39,煤,1.74,,
38,细砂岩,6.79,,
37,砾岩,11.28,1含,
36,15-6煤,1.72,,
35,砾岩,5.08,1含,
34,细砂岩,9.1,,
33,泥岩,12.01,,
32,细砂岩,5.83,,
31,煤,0.71,,
30,粉砂岩,5.98,,
29,煤,6.2,,
28,粉砂岩,9.23,,
27,砾岩,2.87,1含,
26,煤,0.71,,
25,砾岩,1.64,1含,
24,粉砂岩,0.9,,
23,15-7煤,3.95,,
22,砂质泥岩,17.61,,
21,砾岩,22.69,2含,
20,细砂岩,9,,目标层
19,砂质泥岩,18.71,,
18,16-1煤,4.09,,
17,砂质泥岩,1.07,,
16,煤,5.06,,
15,粉砂岩,5.48,,
14,砂质泥岩,4.87,,
13,煤,4.01,,
12,砂质泥岩,4.24,,
11,16-2煤,4.01,,
10,粉砂岩,7.19,,
9,煤,1.76,,
8,砂质泥岩,1.2,,
7,煤,1.61,,
6,砂质泥岩,6.32,,
5,煤,1.67,,
4,砂质泥岩,1.2,,
3,16-3煤,39.9,,
2,砂质泥岩,4.23,,
1,泥岩,7.8,,
