Var1,Var2,Var3,Var4,Var5
59,砾岩,7.42,含,
58,泥岩,14.63,,
57,粉砂岩,12,,
56,15-1下煤,0.51,,
55,粉砂岩,7.19,,
54,中砾岩,10.9,含,
53,粉砂岩,5.74,,
52,中砾岩,9.97,含,
51,15-2煤,0.8,,
50,粉砂质泥岩,11.6,,
49,15-3煤,0.8,,
48,粉砂质泥岩,2.5,,
47,煤6,0.5,,
46,粉砂质泥岩,9.8,,
45,泥岩,3,,
44,粗砾岩,10.57,含,
43,粉砂岩,15.77,,
42,15-4煤,0.7,,
41,泥岩,0.96,,
40,粗砾岩,9.15,1含,
39,粉砂质泥岩,14.85,,
38,15-5下煤,0.3,,
37,粉砂岩,9.4,,
36,中砾岩,3.4,1含,
35,粉砂岩,51.94,,
34,中砾岩,19.95,1含,
33,粉砂质泥岩,13.51,,
32,15-7煤,0.5,,
31,泥岩,2,,
30,中砾岩,9.71,2含,
29,粉砂质泥岩,7.67,,
28,中砾岩,13.54,2含,
27,粉砂质泥岩,10.88,,
26,16-1煤,0.4,,
25,粉砂质泥岩,17.85,,
24,粉砂岩,49.16,,目标层
23,煤5,0.3,,
22,粉砂岩,22.39,,
21,煤4,0.3,,
20,粉砂岩,10.4,,
19,炭质泥岩,5.1,,
18,粉砂岩,0.9,,
17,炭质泥岩,1.9,,
16,粉砂岩,1.7,,
15,炭质泥岩,0.7,,
14,煤3,1.7,,
13,粉砂岩,1.9,,
12,煤2,2,,
11,粉砂岩,2.9,,
10,16-3上煤,1.6,,
9,粉砂岩,2.2,,
8,煤1,0.7,,
7,粉砂岩,1,,
6,16-3中煤,1.2,,
5,粉砂质泥岩,1.4,,
4,16-3煤,20.1,,
3,粉砂质泥岩,8.5,,
2,16-4煤,4.1,,
1,细砂岩,9.01,,
