ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ10,496456.34,5404171.90,167.2878,0.320180,green,24.90,96.20,229.9720,13.00,65.0,0.0,0.0
WF-1-BJ11,496481.42,5404171.90,167.8905,0.322994,green,26.02,95.44,232.1982,13.00,65.0,0.0,0.0
WF-1-BJ12,496506.49,5404171.90,168.4293,0.325511,green,27.13,94.61,234.4450,13.00,65.0,0.0,0.0
WF-1-BJ13,496531.56,5404171.90,168.5845,0.326236,green,28.25,93.32,236.8148,13.00,65.0,0.0,0.0
WF-1-BJ14,496556.63,5404171.90,168.7396,0.326960,green,29.37,92.03,239.1847,13.00,65.0,0.0,0.0
WF-1-BJ15,496581.70,5404171.90,168.7635,0.327072,green,30.29,90.85,241.2284,13.00,65.0,0.0,0.0
WF-1-BJ16,496606.77,5404171.90,168.6276,0.326437,green,30.95,89.79,242.8755,13.00,65.0,0.0,0.0
WF-1-BJ17,496631.84,5404171.90,168.4917,0.325803,green,31.60,88.72,244.5225,13.00,65.0,0.0,0.0
WF-1-BJ18,496656.91,5404171.90,168.5979,0.326298,green,31.63,88.86,244.3536,13.00,65.0,0.0,0.0
WF-1-BJ19,496681.98,5404171.90,168.7805,0.327151,green,31.46,89.37,243.6102,13.00,65.0,0.0,0.0
WF-1-BJ20,496707.05,5404171.90,169.0159,0.328251,green,31.25,90.00,242.6846,13.00,65.0,0.0,0.0
WF-1-BJ21,496732.12,5404171.90,169.9726,0.332718,green,30.69,92.27,239.2646,13.00,65.0,0.0,0.0
WF-1-BJ22,496757.20,5404171.90,170.9292,0.337186,green,30.12,94.55,235.8445,13.00,65.0,0.0,0.0
WF-1-BJ23,496782.27,5404171.90,172.1149,0.342724,green,29.65,97.13,231.8609,13.00,65.0,0.0,0.0
WF-1-BJ24,496807.34,5404171.90,173.6799,0.350033,green,29.34,100.19,226.9440,13.00,65.0,0.0,0.0
WF-1-BJ25,496832.41,5404171.90,175.2450,0.357342,green,29.03,103.25,222.0271,13.00,65.0,0.0,0.0
WF-1-BJ26,496857.48,5404171.90,177.0143,0.365606,green,29.02,106.40,216.6126,13.00,65.0,0.0,0.0
WF-1-BJ27,496882.55,5404171.90,178.8777,0.374308,green,29.14,109.58,210.9693,13.00,65.0,0.0,0.0
WF-1-BJ28,496907.62,5404171.90,180.7411,0.383011,green,29.27,112.77,205.3260,13.00,65.0,0.0,0.0
WF-1-BJ29,496932.69,5404171.90,182.6629,0.391986,green,29.74,115.81,199.3131,13.00,65.0,0.0,0.0
WF-1-BJ30,496957.76,5404171.90,184.5850,0.400963,green,30.21,118.85,193.2976,13.00,65.0,0.0,0.0
WF-1-BJ31,496982.83,5404171.90,186.4365,0.409611,green,30.71,121.76,187.4281,13.00,65.0,0.0,0.0
WF-1-BJ32,497007.90,5404171.90,188.1245,0.417494,green,31.30,124.33,181.8961,13.00,65.0,0.0,0.0
WF-1-BJ33,497032.97,5404171.90,189.8125,0.425377,green,31.89,126.91,176.3642,13.00,65.0,0.0,0.0
