ID,X,Y,厚度Ti,弹模Ei,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ18,496656.91,5404171.90,31.63,25.0,88.86,244.3536,13.00,65.0,0.0,0.0
WF-1-BJ19,496681.98,5404171.90,31.46,25.0,89.37,243.6102,13.00,65.0,0.0,0.0
WF-1-BJ20,496707.05,5404171.90,31.25,25.0,90.00,242.6846,13.00,65.0,0.0,0.0
WF-1-BJ21,496732.12,5404171.90,30.69,25.0,92.27,239.2646,13.00,65.0,0.0,0.0
WF-1-BJ22,496757.20,5404171.90,30.12,25.0,94.55,235.8445,13.00,65.0,0.0,0.0
WF-1-BJ23,496782.27,5404171.90,29.65,25.0,97.13,231.8609,13.00,65.0,0.0,0.0
WF-1-BJ24,496807.34,5404171.90,29.34,24.9,100.19,226.9440,13.00,65.0,0.0,0.0
WF-1-BJ25,496832.41,5404171.90,29.03,24.9,103.25,222.0271,13.00,65.0,0.0,0.0
WF-1-BJ26,496857.48,5404171.90,29.02,24.9,106.40,216.6126,13.00,65.0,0.0,0.0
WF-1-BJ27,496882.55,5404171.90,29.14,24.9,109.58,210.9693,13.00,65.0,0.0,0.0
WF-1-BJ28,496907.62,5404171.90,29.27,24.9,112.77,205.3260,13.00,65.0,0.0,0.0
WF-1-BJ29,496932.69,5404171.90,29.74,24.9,115.81,199.3131,13.00,65.0,0.0,0.0
WF-1-BJ30,496957.76,5404171.90,30.21,24.9,118.85,193.2976,13.00,65.0,0.0,0.0
WF-1-BJ31,496982.83,5404171.90,30.71,24.9,121.76,187.4281,13.00,65.0,0.0,0.0
WF-1-BJ32,497007.90,5404171.90,31.30,24.9,124.33,181.8961,13.00,65.0,0.0,0.0
WF-1-BJ33,497032.97,5404171.90,31.89,24.9,126.91,176.3642,13.00,65.0,0.0,0.0
WF-1-BJ34,497058.05,5404171.90,32.36,24.9,128.87,172.2468,13.00,65.0,0.0,0.0
WF-1-BJ35,497083.12,5404171.90,32.74,24.9,130.42,169.0334,13.00,65.0,0.0,0.0
WF-1-BJ36,497108.19,5404171.90,33.13,25.0,131.97,165.8199,13.00,65.0,0.0,0.0
WF-1-BJ37,497133.26,5404171.90,33.09,25.0,132.16,166.3664,13.00,65.0,0.0,0.0
WF-1-BJ38,497158.33,5404171.90,33.01,25.0,132.22,167.2463,13.00,65.0,0.0,0.0
WF-1-BJ39,497183.40,5404171.90,32.84,25.0,131.97,168.9980,13.00,65.0,0.0,0.0
WF-1-BJ40,497208.47,5404171.90,32.35,25.0,130.65,173.7194,13.00,65.0,0.0,0.0
WF-1-BJ41,497233.54,5404171.90,31.86,25.0,129.33,178.4407,13.00,65.0,0.0,0.0
WF-1-BJ42,497258.61,5404171.90,31.31,25.0,127.51,184.1898,13.00,65.0,0.0,0.0
WF-1-BJ43,497283.68,5404171.90,30.70,25.0,125.26,190.8307,13.00,65.0,0.0,0.0
WF-1-BJ44,497308.75,5404171.90,30.09,25.0,123.02,197.4717,13.00,65.0,0.0,0.0
WF-1-BJ45,497333.82,5404171.90,29.54,25.0,120.29,204.3987,13.00,65.0,0.0,0.0
WF-1-BJ46,497358.90,5404171.90,29.01,25.0,117.47,211.3788,13.00,65.0,0.0,0.0
WF-1-BJ47,497383.97,5404171.90,28.50,25.0,114.60,218.2941,13.00,65.0,0.0,0.0
WF-1-BJ48,497409.04,5404171.90,28.06,25.0,111.48,224.8484,13.00,65.0,0.0,0.0
WF-1-BJ49,497434.11,5404171.90,27.63,25.0,108.35,231.4027,13.00,65.0,0.0,0.0
WF-1-BJ50,497459.18,5404171.90,27.20,25.0,105.23,237.5569,13.00,65.0,0.0,0.0
WF-1-BJ51,497484.25,5404171.90,26.77,25.0,102.12,243.2426,13.00,65.0,0.0,0.0
WF-1-BJ52,497509.32,5404171.90,26.35,25.0,99.00,248.9282,13.00,65.0,0.0,0.0
WF-1-BJ53,497534.39,5404171.90,25.85,25.0,96.12,253.7056,13.00,65.0,0.0,0.0
WF-1-BJ54,497559.46,5404171.90,25.34,25.0,93.31,258.2101,13.00,65.0,0.0,0.0
WF-1-BJ55,497584.53,5404171.90,24.81,25.0,90.54,262.6140,13.00,65.0,0.0,0.0
WF-1-BJ56,497609.60,5404171.90,24.19,25.0,88.28,265.8181,13.00,65.0,0.0,0.0
WF-1-BJ57,497634.67,5404171.90,23.57,25.0,86.02,269.0221,13.00,65.0,0.0,0.0
WF-1-BJ58,497659.75,5404171.90,22.97,25.0,84.06,271.7611,13.00,65.0,0.0,0.0
WF-1-BJ59,497684.82,5404171.90,22.41,25.0,82.56,273.7596,13.00,65.0,0.0,0.0
WF-1-BJ60,497709.89,5404171.90,21.84,25.0,81.07,275.7581,13.00,65.0,0.0,0.0
WF-1-BJ61,497734.96,5404171.90,21.46,25.0,80.20,277.1122,13.00,65.0,0.0,0.0
WF-1-BJ62,497760.03,5404171.90,21.16,25.0,79.61,278.1826,13.00,65.0,0.0,0.0
WF-1-BJ63,497785.10,5404171.90,20.85,25.0,79.02,279.2513,13.00,65.0,0.0,0.0
WF-1-BJ64,497810.17,5404171.90,20.82,25.0,79.16,279.7134,13.00,65.0,0.0,0.0
WF-1-BJ65,497835.24,5404171.90,20.79,25.0,79.31,280.1755,13.00,65.0,0.0,0.0
WF-1-BJ66,497860.31,5404171.90,20.79,25.0,79.56,280.4691,13.00,65.0,0.0,0.0
WF-1-BJ67,497885.38,5404171.90,20.88,25.0,80.07,280.3898,13.00,65.0,0.0,0.0
WF-1-BJ68,497910.45,5404171.90,20.96,25.0,80.57,280.3104,13.00,65.0,0.0,0.0
WF-1-BJ69,497935.53,5404171.90,21.04,25.0,81.15,279.7011,13.00,65.0,0.0,0.0
WF-1-BJ70,497960.60,5404171.90,21.13,25.0,81.78,278.7663,13.00,65.0,0.0,0.0
WF-1-BJ71,497985.67,5404171.90,21.21,25.0,82.41,277.8314,13.00,65.0,0.0,0.0
WF-1-BJ72,498010.74,5404171.90,21.28,25.0,83.19,275.6101,13.00,65.0,0.0,0.0
WF-1-BJ73,498035.81,5404171.90,21.36,25.0,83.98,273.2889,13.00,65.0,0.0,0.0
WF-1-BJ74,498060.88,5404171.90,21.44,25.0,84.84,270.5855,13.00,65.0,0.0,0.0
WF-1-BJ75,498085.95,5404171.90,21.53,25.0,85.92,266.6468,13.00,65.0,0.0,0.0
WF-1-BJ76,498111.02,5404171.90,21.62,25.0,87.01,262.7081,13.00,65.0,0.0,0.0
WF-1-BJ77,498136.09,5404171.90,21.72,25.0,88.12,258.6663,13.00,65.0,0.0,0.0
WF-1-BJ78,498161.16,5404171.90,21.82,25.0,89.26,254.5382,13.00,65.0,0.0,0.0
WF-1-BJ79,498186.23,5404171.90,21.92,25.0,90.39,250.4102,13.00,65.0,0.0,0.0
WF-1-BJ80,498211.30,5404171.90,21.95,25.0,90.71,249.2357,13.00,65.0,0.0,0.0
WF-1-BJ81,498236.38,5404171.90,21.97,25.0,90.88,248.5697,13.00,65.0,0.0,0.0
WF-1-BJ82,498261.45,5404171.90,21.96,25.0,90.79,248.6396,13.00,65.0,0.0,0.0
WF-1-BJ83,498286.52,5404171.90,21.85,25.0,89.32,252.5290,13.00,65.0,0.0,0.0
WF-1-BJ84,498311.59,5404171.90,21.74,25.0,87.86,256.4185,13.00,65.0,0.0,0.0
WF-1-BJ85,498336.66,5404171.90,21.61,25.0,85.92,260.9251,13.00,65.0,0.0,0.0
WF-1-BJ86,498361.73,5404171.90,21.46,25.0,83.44,266.1278,13.00,65.0,0.0,0.0
WF-1-BJ87,498386.80,5404171.90,21.32,25.0,80.97,271.3305,13.00,65.0,0.0,0.0
WF-1-BJ88,498411.87,5404171.90,21.23,25.0,78.25,275.7470,13.00,65.0,0.0,0.0
WF-1-BJ89,498436.94,5404171.90,21.17,25.0,75.45,279.9396,13.00,65.0,0.0,0.0
WF-1-BJ90,498462.01,5404171.90,21.11,25.0,72.65,284.0078,13.00,65.0,0.0,0.0
WF-1-BJ91,498487.08,5404171.90,21.20,25.0,69.80,286.7666,13.00,65.0,0.0,0.0
WF-1-BJ92,498512.15,5404171.90,21.29,25.0,66.96,289.5255,13.00,65.0,0.0,0.0
WF-1-BJ93,498537.23,5404171.90,21.49,25.0,64.18,291.7380,13.00,65.0,0.0,0.0
WF-1-BJ94,498562.30,5404171.90,21.87,25.0,61.50,293.1144,13.00,65.0,0.0,0.0
WF-1-BJ95,498587.37,5404171.90,22.24,25.0,58.82,294.4908,13.00,65.0,0.0,0.0
WF-1-BJ96,498612.44,5404171.90,22.92,25.0,56.46,294.9087,13.00,65.0,0.0,0.0
WF-1-BJ97,498637.51,5404171.90,23.73,25.0,54.24,294.9227,13.00,65.0,0.0,0.0
WF-1-BJ98,498662.58,5404171.90,24.55,25.0,52.02,294.9256,13.00,65.0,0.0,0.0
WF-1-BJ99,498687.65,5404171.90,25.61,25.0,50.53,294.0133,13.00,65.0,0.0,0.0
WF-1-BJ100,498712.72,5404171.90,26.67,25.0,49.04,293.1010,13.00,65.0,0.0,0.0
WF-1-BJ101,498737.79,5404171.90,27.55,25.0,47.90,292.3062,13.00,65.0,0.0,0.0
WF-1-BJ102,498762.86,5404171.90,28.08,25.0,47.53,291.7604,13.00,65.0,0.0,0.0
WF-1-BJ103,498787.93,5404171.90,28.60,25.0,47.15,291.2147,13.00,65.0,0.0,0.0
WF-1-BJ104,498813.01,5404171.90,28.60,25.0,47.54,291.2821,13.00,65.0,0.0,0.0
WF-1-BJ105,498838.08,5404171.90,28.30,25.0,48.40,291.7115,13.00,65.0,0.0,0.0
WF-1-BJ106,498863.15,5404171.90,28.00,25.0,49.26,292.1409,13.00,65.0,0.0,0.0
WF-1-BJ107,498888.22,5404171.90,27.46,25.0,50.79,292.8861,13.00,65.0,0.0,0.0
WF-1-BJ108,498913.29,5404171.90,26.90,25.0,52.37,293.6525,13.00,65.0,0.0,0.0
WF-1-BJ109,498938.36,5404144.61,27.44,25.0,52.83,292.5256,13.00,65.0,0.0,0.0
WF-1-BJ110,498938.36,5404117.31,28.48,25.0,51.72,290.7126,13.00,65.0,0.0,0.0
WF-1-BJ111,498938.36,5404090.01,28.90,25.0,51.37,289.8099,13.00,65.0,0.0,0.0
WF-1-BJ112,498938.36,5404062.72,29.33,25.0,51.01,288.9072,13.00,65.0,0.0,0.0
WF-1-BJ113,498938.36,5404035.42,29.16,25.0,51.70,288.6325,13.00,65.0,0.0,0.0
WF-1-BJ114,498938.36,5404008.12,28.94,25.0,52.47,288.4080,13.00,65.0,0.0,0.0
WF-1-BJ115,498938.36,5403980.83,28.43,25.0,53.83,288.3379,13.00,65.0,0.0,0.0
WF-1-BJ116,498938.36,5403953.53,27.85,25.0,55.33,288.3063,13.00,65.0,0.0,0.0
WF-1-BJ117,498913.29,5403926.24,27.58,25.0,55.86,287.7610,13.00,65.0,0.0,0.0
WF-1-BJ118,498888.22,5403926.24,27.94,25.0,54.83,287.3188,13.00,65.0,0.0,0.0
WF-1-BJ119,498863.15,5403926.24,28.29,25.0,53.83,286.8848,13.00,65.0,0.0,0.0
WF-1-BJ120,498838.08,5403926.24,28.41,25.0,53.39,286.5748,13.00,65.0,0.0,0.0
WF-1-BJ121,498813.01,5403926.24,28.53,25.0,52.95,286.2648,13.00,65.0,0.0,0.0
WF-1-BJ122,498787.93,5403926.24,28.49,25.0,52.84,286.0016,13.00,65.0,0.0,0.0
WF-1-BJ123,498762.86,5403926.24,28.17,25.0,53.32,285.8177,13.00,65.0,0.0,0.0
WF-1-BJ124,498737.79,5403926.24,27.85,25.0,53.79,285.6337,13.00,65.0,0.0,0.0
WF-1-BJ125,498712.72,5403926.24,27.26,25.0,54.78,285.4033,13.00,65.0,0.0,0.0
WF-1-BJ126,498687.65,5403926.24,26.54,25.0,56.02,285.1509,13.00,65.0,0.0,0.0
WF-1-BJ127,498662.58,5403926.24,25.82,25.0,57.26,284.8986,13.00,65.0,0.0,0.0
WF-1-BJ128,498637.51,5403926.24,24.97,25.0,58.72,284.3695,13.00,65.0,0.0,0.0
WF-1-BJ129,498612.44,5403926.24,24.13,25.0,60.19,283.8371,13.00,65.0,0.0,0.0
WF-1-BJ130,498587.37,5403926.24,23.31,25.0,61.59,283.2163,13.00,65.0,0.0,0.0
WF-1-BJ131,498562.30,5403926.24,22.59,25.0,62.86,282.3858,13.00,65.0,0.0,0.0
WF-1-BJ132,498537.23,5403926.24,21.87,25.0,64.12,281.5554,13.00,65.0,0.0,0.0
WF-1-BJ133,498512.15,5403926.24,21.28,25.0,65.24,280.6274,13.00,65.0,0.0,0.0
WF-1-BJ134,498487.08,5403926.24,20.79,25.0,66.26,279.6356,13.00,65.0,0.0,0.0
WF-1-BJ135,498462.01,5403926.24,20.30,25.0,67.28,278.6439,13.00,65.0,0.0,0.0
WF-1-BJ136,498436.94,5403926.24,20.02,25.0,68.24,277.6398,13.00,65.0,0.0,0.0
WF-1-BJ137,498411.87,5403926.24,19.77,25.0,69.19,276.6345,13.00,65.0,0.0,0.0
WF-1-BJ138,498386.80,5403926.24,19.56,25.0,70.16,275.6514,13.00,65.0,0.0,0.0
WF-1-BJ139,498361.73,5403926.24,19.51,25.0,71.19,274.7463,13.00,65.0,0.0,0.0
WF-1-BJ140,498336.66,5403926.24,19.46,25.0,72.22,273.8413,13.00,65.0,0.0,0.0
WF-1-BJ141,498311.59,5403926.24,19.46,25.0,73.24,273.0657,13.00,65.0,0.0,0.0
WF-1-BJ142,498286.52,5403926.24,19.51,25.0,74.25,272.4048,13.00,65.0,0.0,0.0
WF-1-BJ143,498261.45,5403926.24,19.56,25.0,75.27,271.7440,13.00,65.0,0.0,0.0
WF-1-BJ144,498236.38,5403926.24,19.61,25.0,76.11,271.4081,13.00,65.0,0.0,0.0
WF-1-BJ145,498211.30,5403926.24,19.66,25.0,76.91,271.1348,13.00,65.0,0.0,0.0
WF-1-BJ146,498186.23,5403926.24,19.70,25.0,77.67,270.9155,13.00,65.0,0.0,0.0
WF-1-BJ147,498161.16,5403926.24,19.69,25.0,78.17,271.0096,13.00,65.0,0.0,0.0
WF-1-BJ148,498136.09,5403926.24,19.68,25.0,78.67,271.1037,13.00,65.0,0.0,0.0
WF-1-BJ149,498111.02,5403926.24,19.62,25.0,79.02,271.2887,13.00,65.0,0.0,0.0
WF-1-BJ150,498085.95,5403926.24,19.49,25.0,79.19,271.5826,13.00,65.0,0.0,0.0
WF-1-BJ151,498060.88,5403926.24,19.37,25.0,79.36,271.8765,13.00,65.0,0.0,0.0
WF-1-BJ152,498035.81,5403926.24,19.12,25.0,79.19,272.2462,13.00,65.0,0.0,0.0
WF-1-BJ153,498010.74,5403926.24,18.83,25.0,78.91,272.6394,13.00,65.0,0.0,0.0
WF-1-BJ154,497985.67,5403926.24,18.52,25.0,78.59,273.0472,13.00,65.0,0.0,0.0
WF-1-BJ155,497960.60,5403926.24,18.01,25.0,77.67,273.6435,13.00,65.0,0.0,0.0
WF-1-BJ156,497935.53,5403926.24,17.49,25.0,76.76,274.2399,13.00,65.0,0.0,0.0
WF-1-BJ157,497910.45,5403926.24,16.91,25.0,75.58,274.9748,13.00,65.0,0.0,0.0
WF-1-BJ158,497885.38,5403926.24,16.21,25.0,74.00,275.9353,13.00,65.0,0.0,0.0
WF-1-BJ159,497860.31,5403926.24,15.52,25.0,72.42,276.8958,13.00,65.0,0.0,0.0
WF-1-BJ160,497835.24,5403926.24,14.92,25.0,70.96,277.8167,13.00,65.0,0.0,0.0
WF-1-BJ161,497810.17,5403926.24,14.36,25.0,69.54,278.7196,13.00,65.0,0.0,0.0
WF-1-BJ162,497785.10,5403926.24,13.80,25.0,68.13,279.6225,13.00,65.0,0.0,0.0
WF-1-BJ163,497760.03,5403926.24,13.88,25.0,68.74,278.8670,13.00,65.0,0.0,0.0
WF-1-BJ164,497734.96,5403926.24,13.96,25.0,69.35,278.1072,13.00,65.0,0.0,0.0
WF-1-BJ165,497709.89,5403926.24,14.26,25.0,70.94,276.3581,13.00,65.0,0.0,0.0
WF-1-BJ166,497684.82,5403926.24,15.05,25.0,74.74,272.3629,13.00,65.0,0.0,0.0
WF-1-BJ167,497659.75,5403926.24,15.85,25.0,78.55,268.3678,13.00,65.0,0.0,0.0
WF-1-BJ168,497634.67,5403926.24,16.80,25.0,83.93,262.3951,13.00,65.0,0.0,0.0
WF-1-BJ169,497609.60,5403926.24,17.85,25.0,90.31,255.1799,13.00,65.0,0.0,0.0
WF-1-BJ170,497584.53,5403926.24,18.90,25.0,96.69,247.9648,13.00,65.0,0.0,0.0
WF-1-BJ171,497559.46,5403926.24,19.82,25.0,104.60,238.5358,13.00,65.0,0.0,0.0
WF-1-BJ172,497534.39,5403926.24,20.72,25.0,112.63,228.9209,13.00,65.0,0.0,0.0
WF-1-BJ173,497509.32,5403926.24,21.55,25.0,120.91,218.9693,13.00,65.0,0.0,0.0
WF-1-BJ174,497484.25,5403926.24,22.16,25.0,130.00,207.8967,13.00,65.0,0.0,0.0
WF-1-BJ175,497459.18,5403926.24,22.76,25.0,139.09,196.8242,13.00,65.0,0.0,0.0
WF-1-BJ176,497434.11,5403926.24,23.21,25.0,148.05,186.0057,13.00,65.0,0.0,0.0
WF-1-BJ177,497409.04,5403926.24,23.51,25.0,156.89,175.4041,13.00,65.0,0.0,0.0
WF-1-BJ178,497383.97,5403926.24,23.81,25.0,165.74,164.8026,13.00,65.0,0.0,0.0
WF-1-BJ179,497358.90,5403926.24,23.94,25.0,171.68,157.7901,13.00,65.0,0.0,0.0
WF-1-BJ180,497333.82,5403926.24,24.03,25.0,177.11,151.4219,13.00,65.0,0.0,0.0
WF-1-BJ181,497308.75,5403926.24,24.12,25.0,181.53,146.1564,13.00,65.0,0.0,0.0
WF-1-BJ182,497283.68,5403926.24,24.18,25.0,180.53,146.8470,13.00,65.0,0.0,0.0
WF-1-BJ183,497258.61,5403926.24,24.24,25.0,179.54,147.5376,13.00,65.0,0.0,0.0
WF-1-BJ184,497233.54,5403926.24,24.34,25.0,176.29,150.3823,13.00,65.0,0.0,0.0
WF-1-BJ185,497208.47,5403926.24,24.46,25.0,170.43,155.7093,13.00,65.0,0.0,0.0
WF-1-BJ186,497183.40,5403926.24,24.59,25.0,164.58,161.0363,13.00,65.0,0.0,0.0
WF-1-BJ187,497158.33,5403926.24,24.73,25.0,158.05,166.5176,13.00,65.0,0.0,0.0
WF-1-BJ188,497133.26,5403926.24,24.87,25.0,151.33,172.0443,13.00,65.0,0.0,0.0
WF-1-BJ189,497108.19,5403926.24,25.01,25.0,144.71,177.4326,13.00,65.0,0.0,0.0
WF-1-BJ190,497083.12,5403926.24,25.09,25.0,139.20,181.2601,13.00,65.0,0.0,0.0
WF-1-BJ191,497058.05,5403926.24,25.17,24.9,133.69,185.0876,13.00,65.0,0.0,0.0
WF-1-BJ192,497032.97,5403926.24,25.22,24.9,128.75,188.2812,13.00,65.0,0.0,0.0
WF-1-BJ193,497007.90,5403926.24,25.24,24.9,124.71,190.4828,13.00,65.0,0.0,0.0
WF-1-BJ194,496982.83,5403926.24,25.25,24.9,120.66,192.6843,13.00,65.0,0.0,0.0
WF-1-BJ195,496957.76,5403926.24,25.24,24.9,117.47,194.2009,13.00,65.0,0.0,0.0
WF-1-BJ196,496932.69,5403926.24,25.22,24.9,114.65,195.4215,13.00,65.0,0.0,0.0
WF-1-BJ197,496907.62,5403926.24,25.20,24.9,111.84,196.6405,13.00,65.0,0.0,0.0
WF-1-BJ198,496882.55,5403926.24,25.18,24.9,109.97,197.6315,13.00,65.0,0.0,0.0
WF-1-BJ199,496857.48,5403926.24,25.17,24.9,108.11,198.6225,13.00,65.0,0.0,0.0
WF-1-BJ200,496832.41,5403926.24,25.16,24.9,106.46,199.7201,13.00,65.0,0.0,0.0
WF-1-BJ201,496807.34,5403926.24,25.17,24.9,105.28,201.0496,13.00,65.0,0.0,0.0
WF-1-BJ202,496782.27,5403926.24,25.18,24.9,104.10,202.3791,13.00,65.0,0.0,0.0
WF-1-BJ203,496757.20,5403926.24,25.19,24.9,103.18,203.9250,13.00,65.0,0.0,0.0
WF-1-BJ204,496732.12,5403926.24,25.20,24.9,102.42,205.6015,13.00,65.0,0.0,0.0
WF-1-BJ205,496707.05,5403926.24,25.21,24.9,101.65,207.2781,13.00,65.0,0.0,0.0
WF-1-BJ206,496681.98,5403926.24,25.15,24.9,101.12,208.8369,13.00,65.0,0.0,0.0
WF-1-BJ207,496656.91,5403926.24,25.10,24.9,100.60,210.3870,13.00,65.0,0.0,0.0
WF-1-BJ208,496631.84,5403926.24,25.01,24.9,100.11,211.8018,13.00,65.0,0.0,0.0
WF-1-BJ209,496606.77,5403926.24,24.82,24.9,99.72,212.7888,13.00,65.0,0.0,0.0
WF-1-BJ210,496581.70,5403926.24,24.64,24.9,99.33,213.7757,13.00,65.0,0.0,0.0
WF-1-BJ211,496556.63,5403926.24,24.37,24.9,98.96,214.3594,13.00,65.0,0.0,0.0
WF-1-BJ212,496531.56,5403926.24,24.03,24.9,98.61,214.6115,13.00,65.0,0.0,0.0
WF-1-BJ213,496506.49,5403926.24,23.69,24.9,98.25,214.8635,13.00,65.0,0.0,0.0
WF-1-BJ214,496481.42,5403926.24,23.21,24.9,97.83,214.4504,13.00,65.0,0.0,0.0
WF-1-BJ215,496456.34,5403926.24,22.70,24.9,97.41,213.9264,13.00,65.0,0.0,0.0
WF-1-BJ216,496431.27,5403926.24,22.17,24.9,96.96,213.2746,13.00,65.0,0.0,0.0
