id,x,y
B-1,498958.8109,5405677.7
B-2,495625.2405,5405808.045
B-3,495683.992,5405751.926
B-4,495685.6996,5405672.939
B-5,495603.0531,5405610.878
B-6,495603.0673,5404851.351
B-7,495687.4409,5404819.902
B-8,495693.6678,5404712.835
B-9,495601.8241,5404671.804
B-10,495601.8241,5404270.607
B-11,496085.1344,5404272.579
B-12,496085.1344,5404207.591
B-13,496177.6283,5404207.591
B-14,496171.0123,5403933.395
B-15,498958.8109,5403926.114
