case_id,plan_code,plan_name,signature,wd,wo,wf,odi_mean,odi_p90,odi_gt_070_pct,sample_count,risk_score
baseline,A,efficiency top1,x|wb=50.0000|ws=30.0000|N=5|B=308.0000,0.45,0.3,0.25,0.4463420959803343,0.6407388847574798,0.4444444444444444,4500,0.44809632432195173
baseline,B,recovery top1,y|wb=50.0000|ws=30.0000|N=9|B=335.0000|theta=0.0,0.45,0.3,0.25,0.45520242481522927,0.6461557019908458,0.5555555555555556,4500,0.45458904143774403
baseline,C,unified ODI minimum qualified candidate,x|wb=50.0000|ws=30.0000|N=4|B=350.0000,0.45,0.3,0.25,0.4415510148088087,0.6352599850862843,1.2222222222222223,4500,0.4449498355179372
wd_plus10pct,A,efficiency top1,x|wb=50.0000|ws=30.0000|N=5|B=308.0000,0.4736842105263159,0.28708133971291866,0.23923444976076558,0.44586256743037284,0.6394660205744033,0.4,4500,0.4473443909162275
wd_plus10pct,B,recovery top1,y|wb=50.0000|ws=30.0000|N=9|B=335.0000|theta=0.0,0.4736842105263159,0.28708133971291866,0.23923444976076558,0.4547420324091844,0.6450617361290624,0.46666666666666673,4500,0.453842623849764
wd_plus10pct,C,unified ODI minimum qualified candidate,x|wb=50.0000|ws=30.0000|N=4|B=350.0000,0.4736842105263159,0.28708133971291866,0.23923444976076558,0.4409633349551053,0.6340446620449479,1.1111111111111112,4500,0.44406396585995106
wd_minus10pct,A,efficiency top1,x|wb=50.0000|ws=30.0000|N=5|B=308.0000,0.42408376963350786,0.3141361256544502,0.2617801047120419,0.4468409791105768,0.6424208070383229,0.5111111111111112,4500,0.4490344386853681
wd_minus10pct,B,recovery top1,y|wb=50.0000|ws=30.0000|N=9|B=335.0000|theta=0.0,0.42408376963350786,0.3141361256544502,0.2617801047120419,0.4556813994345424,0.6475964561736803,0.7333333333333333,4500,0.4555994593780593
wd_minus10pct,C,unified ODI minimum qualified candidate,x|wb=50.0000|ws=30.0000|N=4|B=350.0000,0.42408376963350786,0.3141361256544502,0.2617801047120419,0.44216241441164694,0.6367439407806157,1.3111111111111111,4500,0.4459082531457056
wo_plus10pct,A,efficiency top1,x|wb=50.0000|ws=30.0000|N=5|B=308.0000,0.4368932038834951,0.32038834951456313,0.24271844660194175,0.44715529039884605,0.6421483881693442,0.5777777777777777,4500,0.44919624772536015
wo_plus10pct,B,recovery top1,y|wb=50.0000|ws=30.0000|N=9|B=335.0000|theta=0.0,0.4368932038834951,0.32038834951456313,0.24271844660194175,0.4560624175381106,0.6474823951576586,0.6444444444444445,4500,0.45561671374090246
wo_plus10pct,C,unified ODI minimum qualified candidate,x|wb=50.0000|ws=30.0000|N=4|B=350.0000,0.4368932038834951,0.32038834951456313,0.24271844660194175,0.44223861470035536,0.6366690416324635,1.288888888888889,4500,0.44588680525487323
wo_minus10pct,A,efficiency top1,x|wb=50.0000|ws=30.0000|N=5|B=308.0000,0.4639175257731959,0.27835051546391754,0.2577319587628866,0.445487122100399,0.6395426923774171,0.35555555555555557,4500,0.4471168367156288
wo_minus10pct,B,recovery top1,y|wb=50.0000|ws=30.0000|N=9|B=335.0000|theta=0.0,0.4639175257731959,0.27835051546391754,0.2577319587628866,0.4542982482760646,0.6448121730032664,0.46666666666666673,4500,0.45353338468917553
wo_minus10pct,C,unified ODI minimum qualified candidate,x|wb=50.0000|ws=30.0000|N=4|B=350.0000,0.4639175257731959,0.27835051546391754,0.2577319587628866,0.44082808812149243,0.6338976964667261,1.1777777777777778,4500,0.44404490449076706
wf_plus10pct,A,efficiency top1,x|wb=50.0000|ws=30.0000|N=5|B=308.0000,0.4390243902439025,0.29268292682926833,0.26829268292682934,0.4460155651910138,0.6411437895401471,0.42222222222222217,4500,0.4480414422678917
wf_plus10pct,B,recovery top1,y|wb=50.0000|ws=30.0000|N=9|B=335.0000|theta=0.0,0.4390243902439025,0.29268292682926833,0.26829268292682934,0.4548119376463808,0.6462182255156743,0.6222222222222222,4500,0.45451568108700974
wf_plus10pct,C,unified ODI minimum qualified candidate,x|wb=50.0000|ws=30.0000|N=4|B=350.0000,0.4390243902439025,0.29268292682926833,0.26829268292682934,0.441451016266873,0.6352706624862193,1.2666666666666666,4500,0.4449702400036133
wf_minus10pct,A,efficiency top1,x|wb=50.0000|ws=30.0000|N=5|B=308.0000,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.4467067623683105,0.6410213660503289,0.5333333333333333,4500,0.44851085930177037
wf_minus10pct,B,recovery top1,y|wb=50.0000|ws=30.0000|N=9|B=335.0000|theta=0.0,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.4556385170615726,0.6463661175567638,0.5555555555555556,4500,0.45488073300898696
wf_minus10pct,C,unified ODI minimum qualified candidate,x|wb=50.0000|ws=30.0000|N=4|B=350.0000,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.44166269220121135,0.6355369567282256,1.2222222222222223,4500,0.445102614288818
aquifer_special,A,efficiency top1,x|wb=50.0000|ws=30.0000|N=5|B=308.0000,0.15,0.25,0.6,0.44449520293713307,0.6469515104794369,1.2,4500,0.45048063013636946
aquifer_special,B,recovery top1,y|wb=50.0000|ws=30.0000|N=9|B=335.0000|theta=0.0,0.15,0.25,0.6,0.452633218201268,0.6495546797862175,1.8222222222222224,4500,0.4563940803591434
aquifer_special,C,unified ODI minimum qualified candidate,x|wb=50.0000|ws=30.0000|N=4|B=350.0000,0.15,0.25,0.6,0.44239129486109097,0.6402033254283227,3.022222222222222,4500,0.44980014466379176
