ref_no,doi,status,source_type,source_url,title,authors,journal,year,note
20,10.3390/app13159011,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.3390/app13159011,Investigation into Mining Economic Evaluation Approaches Based on the Rosenblueth Point Estimate Method,Li Jiaoqun; Wu Tong; Lu Zengxiang; Wu Saisai,Applied Sciences,2023,????/?????????=YES
21,10.1016/j.resourpol.2014.01.003,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1016/j.resourpol.2014.01.003,Evaluation of the mining projects under economic uncertainties using multidimensional binomial tree,Dehghani Hesam; Ataee-pour Majid; Esfahanipour Akbar,Resources Policy,2014,????/?????????=YES
22,10.1021/acsomega.5c09774,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1021/acsomega.5c09774,Evolution of Overburden Fractures and the Water-Conducting Fracture Zone in Closely Spaced Coal Mine Seams under Highly Water-Rich Aquifers,Liu Xiong; Zheng Lulin; Liu Hao; Zuo Yujun; Ren Weide; Zhu Xilong,ACS Omega,2025,????/?????????=YES
23,10.1038/s41598-026-45413-4,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1038/s41598-026-45413-4,Analysis of water-permeable fractured zone in weakly cemented overburden considering rock strain-softening,Xue Sen; Wang Qiqing; Song Zhen,Scientific Reports,2026,????/?????????=YES
24,10.1038/s41598-024-82761-5,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1038/s41598-024-82761-5,Mechanical prediction method of strata movement and surface subsidence in backfill-strip mining,Zhu Xiaojun; Zha Feng; Guo Guangli; Chang Qingliang; Liu Hui; Yang Xiaoyu,Scientific Reports,2024,????/?????????=YES
25,10.1007/978-3-642-81923-0_2,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1007/978-3-642-81923-0_2,Strata Movement at the Mining Horizon,Kratzsch Helmut,Mining Subsidence Engineering,1983,????/?????????=YES
26,10.13199/j.cnki.cst.2020.09.001,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2020/9/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF202009001.html,煤矿绿色开采20年研究及进展,许家林,煤炭科学技术,2020,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
27,10.13199/j.cnki.cst.2020.01.001,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2020/1/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF202001001.html,煤矿智能化标准体系框架与建设思路,王国法; 杜毅博,煤炭科学技术,2020,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
28,10.13199/j.cnki.cst.2020.07.001,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2020/7/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF202007001.html,煤矿智能化(初级阶段)技术体系研究与工程进展,王国法; 任怀伟; 庞义辉; 等,煤炭科学技术,2020,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
29,10.13199/j.cnki.cst.2019.10.012,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2019/10/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF201910012.html,智能化开采研究进展与发展趋势,李首滨,煤炭科学技术,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
30,10.13199/j.cnki.cst.2019.07.019,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2019/7/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF201907019.html,透明工作面的概念、架构与关键技术,王存飞; 荣耀,煤炭科学技术,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
31,10.13225/j.cnki.jccs.KJ19.0510,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2019/8/20190916%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5201908002.html,煤炭智能精准开采工作面地质模型梯级构建及其关键技术,程建远; 朱梦博; 王云宏; 等,煤炭学报,2019,期刊中文引用行使用 KJ19.0510；同页英文行疑有 KJ18.0510 录入差异，正文采用中文引用行 DOI。
32,10.13225/j.cnki.jccs.ZN20.0364,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2020/6/%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5202006006.html,采煤工作面煤层三维模型构建及动态修正技术,刘万里; 张学亮; 王世博,煤炭学报,2020,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
33,10.13225/j.cnki.jccs.2018.6041,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2019/3/20190412%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5201903012.html,干旱矿区采动顶板导水裂隙的演化规律及保水采煤意义,徐智敏; 孙亚军; 高尚; 等,煤炭学报,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
34,10.13225/j.cnki.jccs.SH19.0446,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2019/12/%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5201912013.html,采动覆岩导水裂隙主通道分布模型及其水流动特性,曹志国; 鞠金峰; 许家林,煤炭学报,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
35,10.13225/j.cnki.jccs.2018.6038,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2019/3/20190412%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5201903011.html,覆岩破坏充分采动程度定义及判别方法,郭文兵; 娄高中,煤炭学报,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
36,10.13199/j.cnki.cst.2021-0169,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2022/2/20220326MTKJ202202022.html,东胜煤田导水裂缝发育及其分区特征研究,鞠金峰; 马祥; 赵富强; 等,煤炭科学技术,2022,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
37,10.13199/j.cnki.cst.2021.09.024,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2021/9/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF202109024.html,煤层顶板巨厚基岩含水层空间富水性评价,郭小铭; 王皓; 周麟晟,煤炭科学技术,2021,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
38,10.13199/j.cnki.cst.2021.09.002,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2021/9/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF202109002.html,类孤岛工作面复采方案优选分析研究,王苏健; 金声尧,煤炭科学技术,2021,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
39,10.13199/j.cnki.cst.2020.03.024,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2020/3/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF202003024.html,深部煤层非充分采动下覆岩裂隙场可视化探测研究,王玉涛; 刘震,煤炭科学技术,2020,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
40,10.13199/j.cnki.cst.2020-0418,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2022/5/20220722MTKJ202205027.html,地质雷达和高密度电法联合探测底板含水性的应用,董江鑫; 王飞,煤炭科学技术,2022,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
41,10.13199/j.cnki.cst.2021.04.019,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2021/4/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF202104019.html,鄂尔多斯盆地侏罗系煤田保水开采技术与应用,张玉军; 宋业杰; 樊振丽; 等,煤炭科学技术,2021,期刊网页和 PDF 检索结果给出题名、期刊、年卷期页码和 DOI。
42,10.13225/j.cnki.jccs.2016.1871,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/cn/article/pdf/preview/10.13225/j.cnki.jccs.2016.1871.pdf,基于导水裂隙带高度的地下水库适应性评价,李全生; 鞠金峰; 曹志国; 等,煤炭学报,2017,期刊 PDF 给出题名、作者、期刊、年卷期页码和 DOI。
43,10.13225/j.cnki.jccs.2016.6016,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://mtxb.com.cn/cn/article/pdf/preview/10.13225/j.cnki.jccs.2016.6016.pdf,西部缺水矿区地下水库保水的库容研究,鞠金峰; 许家林; 朱卫兵,煤炭学报,2017,期刊 PDF 给出题名、作者、期刊、年卷期页码和 DOI。
44,10.13225/j.cnki.jccs.2016.6024,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/cn/article/pdf/preview/10.13225/j.cnki.jccs.2016.6024.pdf,西部典型侏罗系富煤区含水介质条件与水动力学特征,徐智敏; 高尚; 孙亚军; 等,煤炭学报,2017,期刊 PDF 给出题名、作者、期刊、年卷期页码和 DOI。
45,10.13225/j.cnki.jccs.DZ20.0697,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2020/7/435108.html,鄂尔多斯盆地侏罗纪煤田典型顶板水害防控技术与应用,董书宁; 姬亚东; 王皓; 等,煤炭学报,2020,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
46,10.13225/j.cnki.jccs.SH19.1167,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2019/12/%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5201912010.html,煤矿分布式地下水库渗流场分析及优化调度,刘晓丽; 曹志国; 陈苏社; 等,煤炭学报,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
47,10.13225/j.cnki.jccs.2018.0417,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2019/2/20190330%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5201902023.html,煤矿地下水库储水空间构成分析及计算方法,庞义辉; 李全生; 曹光明; 等,煤炭学报,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
48,10.13199/j.cnki.cst.2019.07.001,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2019/7/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF201907001.html,保水采煤研究30年回顾与展望,范立民; 马雄德; 蒋泽泉; 等,煤炭科学技术,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
49,10.13225/j.cnki.jccs.2012.05.002,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/cn/article/pdf/preview/9f920284-c6d1-4852-b8a9-93bbaf288ba8.pdf,基于关键层位置的导水裂隙带高度预计方法,许家林; 朱卫兵; 王晓振,煤炭学报,2012,期刊 PDF/检索结果给出题名、作者、期刊、年卷期页码和 DOI。
50,10.13225/j.cnki.jccs.2018.6025,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2019/3/20190412%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5201903016.html,深埋煤层开采顶板基岩含水层渗流规律及保水技术,郭小铭; 董书宁,煤炭学报,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
