case_id,description,wd,wo,wf,n,mean,median,p90,gt_065,gt_070,gt_075,gt_080
baseline,0.45/0.30/0.25,0.45,0.3,0.25,4480,0.4668623635588197,0.4542150608483358,0.7474008541105573,22.991071428571427,15.892857142857142,9.464285714285714,3.549107142857143
wd_plus10pct,"surface +10% relative, renormalized",0.4736842105263159,0.28708133971291866,0.23923444976076558,4480,0.46579989923364595,0.4532915304850724,0.7457812524851011,22.767857142857142,15.78125,9.129464285714285,3.4375000000000004
wd_minus10pct,"surface -10% relative, renormalized",0.42408376963350786,0.3141361256544502,0.2617801047120419,4480,0.46796771073440796,0.4553572759198236,0.7494868601614398,23.236607142857142,16.16071428571429,9.888392857142856,3.616071428571429
wo_plus10pct,"aquifer +10% relative, renormalized",0.4368932038834951,0.32038834951456313,0.24271844660194175,4480,0.4672307162088524,0.4546142162545256,0.7481884836790575,23.013392857142854,16.049107142857146,9.665178571428571,3.660714285714286
wo_minus10pct,"aquifer -10% relative, renormalized",0.4639175257731959,0.27835051546391754,0.2577319587628866,4480,0.4664750860674672,0.45344804532912847,0.7463919464534449,22.90178571428571,15.892857142857142,9.196428571428573,3.459821428571429
wf_plus10pct,"upward +10% relative, renormalized",0.4390243902439025,0.29268292682926833,0.26829268292682934,4480,0.46753135655765843,0.45484768516955754,0.7484008986826236,23.214285714285715,16.049107142857146,9.598214285714286,3.549107142857143
wf_minus10pct,"upward -10% relative, renormalized",0.46153846153846156,0.3076923076923077,0.23076923076923078,4480,0.4661152387287971,0.45377838955324074,0.7464861881020934,22.8125,15.825892857142856,9.397321428571429,3.482142857142857
aquifer_special,0.15/0.25/0.60,0.15,0.25,0.6,4480,0.4771679049078442,0.4677038322288512,0.7624904922074264,25.602678571428573,18.90625,13.035714285714286,4.375
